student,exams
00ea12cd6fdaed3fe70b1ae0f1cff104b53b67e745b8e43207f032b802603c8d,"['MLG57', '1-18794']"
00efb0e902289f6d12fc066cc3562d4482ef43b3f1949eea6e08f591d4add0b1,"['1-5635', '1-9351', '1-6957']"
00f28f9ad8a8003f7a6cdac8a74a3c0eb8d39368866e4e48563514fae9a147a3,"['1-3523', 'MLG06', 'MLG15', 'MLG45']"
00f33a7a72717f263c9eb9e23e41661b40ed487ef5a5cc5caf28bd476a6ba12e,"['1-1687', 'MLG25', 'MLG02']"
00f3eb5390c88e1bd05d0704f2b0a60e651a21ca83a087ee9218105ac5dcd721,"['MLG48', 'MLG50', 'MLG56', 'MLG57', 'MLG52']"
00f60c0b23a528d8f093f99b2cebbd9a2f6690e9c6b8a4a914eeccf83d59942b,"['1-1530', '1-4654', '1-7403', '1-19755']"
0100b445e62b01c5df108214a53349bfaf7541a2e8d66249f3454e220b085ae8,"['1-2292', 'MLG70', 'MLG15']"
0107675fc9fe9f6adf9283b5678bb9e4acc9f7c825ceb79e0264c8727352f639,"['1-5899', '1-8165', 'MLG66', 'MLG02']"
010d662e5da8358c0516859df826e7403f3578096a3be603206e8288241f15e0,"['1-3037', '1-7523', '1-3186']"
0111b6b2328ff5cc2f9919c387886cf39fe7a40f3a69bdc125778d5ff309860d,"['1-7332', 'MLG12', 'MLG61']"
0113c3c8169a657a2308d8726eb957b0812b6a1ff1cbf9c474f27dcfea9f9970,"['MLG67', '1-4394']"
011441b438dc00f34cde17ad962bb49040abfa32798dd935381e2975c2f31d22,"['1-7425', '1-1119', '1-8480']"
011673a0445be4387dab46eb9e47a3cfbb7bdf3b668774db13d84731f6eb2333,"['1-8753', '1-8753']"
01189cceb0b33629f1a9b847bb75e478415405e2e0709014d14f05c427205ae6,"['1-5531', 'MLG02']"
0124c123481d6ee4237a33382e0b41c6fb0e8122f02a56977ee428e5498cd767,['1-8834']
0124ce4de6b18885b3b298e813df894c965500913eff519927e5beda984672d1,"['1-7518', '1-8567', '1-7057']"
0125f2ce37a3be1778c5ae0eea1ac4758ced9bfa0da9fbe157931cf6f0801ec2,"['1-9365', '1-7057']"
01261781fd3a0b9f044fe8b99c9942372cc51b8fa825338145c037745e353c7f,['1-0918']
012828f30738d4bf240834b465f1b8cd16171bb91f552cfdfadc81ad042fbd7e,['1-7403']
0137315d2bde8f99c9501e1da6b4ab768fbda71455b217bd0cbf61b42ac2e3b6,"['1-7725', '1-6591', 'MLG14']"
0149d951d2b342759e9d0732f014d86891a1e9ab2e52a346cbb6762443ccbb4d,"['1-1530', '1-8630']"
0150750c0dfdbd06f816a26a9b42a570fd46f95723694c5dcbed7277b2b9fd26,"['1-9341', '1-2829', '1-2699']"
0154c6658c1816a4ef14d6d1a82fa8f07b2a733658e1215d2286abe81a6fd7f0,"['MLG67', '1-4011', '1-8019', 'MLG36']"
0154d5fa486c725f915f22297d3036dd1ac6db962c1938fa2492ef3afd2cde02,['1-10294']
015826caf98ce2099cb17b101021e8e7b138b32c8dd3694c88f57c81784bc314,"['1-6727', '1-6569', '1-7523', 'MLG45']"
015883e9af69853f1d1864acee754565f826a9db15fa274bade2061f145a9d30,"['1-4011', 'MLG42']"
0159ea40b1a25b20025b967cde1d2482df059636cc84c2962b8268b7e5691383,"['1-0541', '1-6166', 'MLG15', 'MLG61']"
015cb4141b726ea770a16e9597bf31aeae672e5e217647c9b5a36a5106905cfe,"['1-10960', '1-6678', 'MLG11']"
016adc89ce6d491909f734a1945ce68366f6dedd3c005f894eb46c3c849c8901,"['1-4394', '1-3051', '1-3186']"
016b524e784db438b71eb6505e0e8a3f053dbaaaae66bbd3305f8d752d653f3b,"['1-2485', '1-2829']"
