,Exam Group,Exam Block
383,1-8551,21
384,1-9270,11
385,1-6974,16
386,MLG68,16
387,1-10539,12
388,MLG49,19
389,1-0278,2
390,MLG64,21
391,MLG30,1
392,1-9609,20
393,1-7819,3
394,1-2423,4
395,1-6787,2
396,1-9963,11
397,1-9808,1
398,1-0303,2
399,MLG60,19
400,1-18709,1
401,1-7204,16
402,1-5744,16
403,1-1770,12
404,1-4682,15
405,1-3104,9
406,1-17907,13
407,1-8421,11
408,MLG53,19
409,1-9645,15
410,MLG12,8
411,MLG15,4
412,1-6858,10
413,1-8314,2
414,1-8285,12
415,1-1957,8
416,1-18203,7
417,1-10451,19
418,1-6216,6
419,1-6692,7
420,1-8172,7
421,1-8398,7
422,1-6878,14
423,1-7122,7
424,1-4700,21
425,1-6006,17
426,1-4355,16
427,1-9379,4
428,1-2701,7
429,1-6693,5
430,1-3141,11
431,1-7614,17
432,1-6914,21
433,1-5654,6
434,MLG59,1
435,1-9610,7
436,1-5161,6
437,1-6980,18
438,MLG10,1
439,MLG72,18
440,MLG52,20
441,1-19166,3
442,MLG11,16
443,1-3447,9
444,1-3217,8
445,1-6538,2
446,1-3534,13
447,1-7152,13
448,1-3106,4
449,1-1935,5
450,1-2297,10
451,1-4098,6
452,1-8529,2
453,1-8397,3
454,1-0272,13
455,1-17790,7
456,1-8186,3
457,1-8503,12
458,1-7182,3
459,1-2545,6
460,1-7993,2
461,1-9651,1
462,1-1183,19
463,1-1989,7
464,1-10060,15
465,1-5913,7
466,1-5981,18
467,1-13247,1
468,1-6228,2
469,1-8578,4
470,1-1204,3
471,1-9794,7
472,1-9518,3
473,1-9452,9
474,1-8400,9
475,1-18234,1
476,1-19205,4
477,1-9055,3
478,1-9394,7
479,1-9286,2
480,1-1005,5
481,1-10038,19
482,1-4390,3
483,1-9491,2
484,MLG31,18
485,1-5980,5
486,1-8678,15
487,1-6900,18
488,1-11350,3
489,1-9578,6
490,1-3551,1
491,MLG09,18
492,1-6028,9
493,1-1836,10
494,1-3265,2
495,MLG08,21
496,1-3176,3
497,1-8493,10
498,1-19915,18
499,1-8627,15
500,1-0292,1
501,1-18487,2
502,1-20012,3
503,1-9076,1
504,1-5425,4
505,1-4747,20
506,1-6227,2
507,1-6909,11
508,1-8532,14
509,1-18935,19
510,1-3206,3
511,1-9697,11
512,1-3033,8
513,1-8094,14
514,1-11206,1
515,1-6531,1
516,1-5036,14
517,1-18028,18
518,1-1850,1
519,1-4926,8
520,1-2034,6
521,1-19549,11
522,1-5282,11
523,1-9861,3
524,1-9338,2
525,1-3175,12
526,1-5002,5
527,1-5531,1
528,1-6718,12
529,1-6217,10
530,1-4847,12
531,1-5891,16
532,1-19447,2
533,1-7530,13
534,1-9457,2
535,1-5990,12
536,1-9971,20
537,1-4494,16
538,1-9576,2
539,1-9436,4
540,1-5413,20
541,1-5424,3
542,1-1191,13
543,1-5803,1
544,1-5799,4
545,1-19567,18
546,1-7527,12
547,MLG67,21
548,1-3087,10
549,1-4842,15
550,1-19568,4
551,1-9838,2
552,MLG46,4
553,1-5555,3
554,1-10444,9
555,1-3646,9
556,1-10951,9
557,1-9806,7
558,1-0055,1
559,1-5914,3
560,1-0027,5
561,1-9455,6
562,1-0003,3
563,1-21192,5
564,1-9034,1
565,1-19927,16
