Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
420,420,420,MLG28,22,23,MLG28,22,2,0,1,2.7830896014347672,0.12650407279248943
218,218,218,1-9351,1,6,1-9351,60,6,0,2,7.5661792028695345,0.12610298671449224
18,18,18,1-5635,18,10,1-5635,417,42,0,13,52.180164818651974,0.12513228973297835
405,405,405,1-6558,15,18,1-6558,24,3,0,0,3.0,0.125
469,469,469,1-9095,23,24,1-9095,16,2,0,0,2.0,0.125
530,530,530,1-3727,17,20,1-3727,8,1,0,0,1.0,0.125
468,468,468,1-9316,18,10,1-9316,16,2,0,0,2.0,0.125
528,528,528,1-3369,10,17,1-3369,8,1,0,0,1.0,0.125
122,122,122,1-8949,23,21,1-8949,112,6,0,10,13.830896014347672,0.12349014298524708
87,87,87,1-2742,12,15,1-2742,154,7,0,15,18.74634402152151,0.12172950663325655
132,132,132,1-4397,10,17,1-4397,106,5,0,10,12.830896014347672,0.12104618881460068
393,393,393,1-8766,20,8,1-8766,26,0,0,4,3.132358405739069,0.1204753232976565
141,141,141,1-7081,9,17,1-7081,99,4,0,10,11.830896014347672,0.11950400014492599
175,175,175,1-7625,2,5,1-7625,76,9,0,0,9.0,0.11842105263157894
438,438,438,1-9458,14,13,1-9458,20,0,0,3,2.3492688043043017,0.11746344021521508
305,305,305,1-8924,20,8,1-8924,40,0,0,6,4.6985376086086035,0.11746344021521508
183,183,183,1-1466,17,11,1-1466,73,7,0,2,8.566179202869534,0.1173449205872539
282,282,282,MLG35,23,21,MLG35,44,2,0,4,5.132358405739069,0.11664450922134248
273,273,273,1-8537,11,16,1-8537,47,0,0,7,5.481627210043371,0.11663036617113555
179,179,179,1-7900,16,20,1-7900,75,4,0,6,8.698537608608603,0.11598050144811471
169,169,169,1-6591,20,8,1-6591,79,6,0,4,9.132358405739069,0.11559947349036796
317,317,317,1-9399,23,21,1-9399,38,2,0,3,4.349268804304302,0.11445444221853425
315,315,315,1-6764,22,23,1-6764,38,2,0,3,4.349268804304302,0.11445444221853425
98,98,98,MLG36,22,23,MLG36,136,10,0,7,15.48162721004337,0.11383549419149537
479,479,479,1-8090,15,12,1-8090,14,0,0,2,1.5661792028695345,0.11186994306210961
488,488,488,1-2322,1,6,1-2322,14,0,0,2,1.5661792028695345,0.11186994306210961
481,481,481,1-3141,23,21,1-3141,14,0,0,2,1.5661792028695345,0.11186994306210961
483,483,483,1-6816,19,9,1-6816,14,0,0,2,1.5661792028695345,0.11186994306210961
208,208,208,1-6214,10,17,1-6214,65,1,0,8,7.264716811478138,0.11176487402274059
284,284,284,1-18635,23,21,1-18635,44,1,0,5,4.915448007173836,0.111714727435769
408,408,408,1-7987,12,15,1-7987,23,1,0,2,2.5661792028695345,0.11157300882041454
470,470,470,1-8291,11,16,1-8291,16,1,0,1,1.7830896014347672,0.11144310008967295
