Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
386,386,MLG08,8,4,MLG08,532,85,0,89,87.26391846500337,0.16402992192669807
497,497,1-3216,7,12,1-3216,38,6,0,7,6.178061002865434,0.1625805527069851
405,405,1-9365,11,7,1-9365,243,38,0,55,39.399050736799836,0.16213601126255076
69,69,1-7418,8,4,1-7418,45,7,0,10,7.254372861236334,0.16120828580525187
226,226,1-1047,4,14,1-1047,39,6,0,9,6.2289355751127005,0.15971629679776156
287,287,1-9267,12,13,1-9267,14,2,0,9,2.2289355751127005,0.15920968393662147
147,147,1-7172,7,12,1-7172,284,41,0,155,44.942779349163175,0.1582492230604337
157,157,1-2318,15,10,1-2318,13,2,0,2,2.0508745722472668,0.157759582480559
313,313,1-3631,18,9,1-3631,13,2,0,2,2.0508745722472668,0.157759582480559
11,11,1-8750,11,7,1-8750,45,7,0,1,7.025437286123633,0.15612082858052517
387,387,1-3469,21,5,1-3469,40,6,0,9,6.2289355751127005,0.15572338937781752
238,238,1-7444,9,17,1-7444,14,2,0,7,2.1780610028654337,0.15557578591895954
16,16,1-7539,12,13,1-7539,91,14,0,6,14.1526237167418,0.15552333754661318
529,529,1-11533,2,20,1-11533,20,3,0,3,3.0763118583709,0.15381559291854502
527,527,1-5568,1,19,1-5568,47,7,0,8,7.203498288989067,0.15326592104232056
382,382,1-18469,4,14,1-18469,54,8,0,9,8.2289355751127,0.1523876958354204
333,333,1-3047,16,15,1-3047,360,53,0,70,54.78061002865434,0.15216836119070648
352,352,1-2275,13,3,1-2275,130,19,0,28,19.712244011461735,0.15163264624201334
323,323,1-7946,13,3,1-7946,289,41,0,92,43.34023032337427,0.14996619489056842
444,444,1-2083,15,10,1-2083,48,7,0,6,7.1526237167418,0.14901299409878752
480,480,1-1514,7,12,1-1514,64,9,0,19,9.483308436349034,0.14817669431795366
380,380,MLG64,15,10,MLG64,129,18,0,41,19.04292873106897,0.14761960256642612
443,443,1-4397,16,15,1-4397,106,15,0,22,15.559620294719934,0.14678887070490504
547,547,1-9600,1,19,1-9600,7,1,0,1,1.0254372861236334,0.14649104087480477
419,419,1-1176,15,10,1-1176,69,10,0,4,10.101749144494534,0.14640216151441354
491,491,MLG51,10,16,MLG51,99,14,0,10,14.254372861236334,0.14398356425491246
461,461,1-9351,7,12,1-9351,60,8,0,22,8.559620294719934,0.14266033824533225
43,43,1-7518,21,5,1-7518,169,23,0,43,24.093803303316236,0.14256688345157537
484,484,MLG35,3,6,MLG35,44,6,0,10,6.254372861236334,0.14214483775537123
437,437,1-19093,6,1,1-19093,36,5,0,4,5.1017491444945335,0.14171525401373705
478,478,1-8916,11,7,1-8916,61,8,0,22,8.559620294719934,0.14032164417573664
538,538,1-18794,10,16,1-18794,29,4,0,2,4.050874572247267,0.13968533007749195
329,329,1-19755,7,12,1-19755,517,67,0,195,71.96027079410851,0.13918814466945553
106,106,1-8973,20,11,1-8973,44,6,0,2,6.050874572247267,0.13751987664198334
236,236,1-9245,1,19,1-9245,23,3,0,5,3.127186430618167,0.13596462741818116
325,325,1-6625,5,8,1-6625,67,9,0,4,9.101749144494534,0.13584700215663484
369,369,1-8564,6,1,1-8564,185,24,0,43,25.093803303316236,0.1356421800179256
173,173,1-7456,16,15,1-7456,32,4,0,11,4.279810147359967,0.13374406710499898
194,194,1-19109,2,20,1-19109,30,4,0,0,4.0,0.13333333333333333
426,426,1-7332,7,12,1-7332,53,7,0,2,7.050874572247267,0.13303536928768428
503,503,1-0295,9,17,1-0295,24,3,0,7,3.1780610028654337,0.1324192084527264
486,486,1-6506,9,17,1-6506,70,8,0,47,9.195552447810769,0.13136503496872529
448,448,1-6249,7,12,1-6249,64,8,0,15,8.3815592918545,0.13096186393522657
211,211,1-7187,7,12,1-7187,96,11,0,61,12.551674453541636,0.1307466088910587
163,163,1-1633,9,17,1-1633,399,47,0,201,52.11289451085031,0.13060875817255718
200,200,7W2-12806,1,19,7W2-12806,23,3,0,0,3.0,0.13043478260869565
54,54,1-6957,21,5,1-6957,338,42,0,72,43.831484600901604,0.12967894852337752
392,392,1-18266,15,10,1-18266,55,7,0,5,7.127186430618167,0.1295852078294212
462,462,1-8484,21,5,1-8484,202,25,0,45,26.144677875563502,0.12942909839387873
326,326,1-9095,11,7,1-9095,16,2,0,2,2.0508745722472668,0.12817966076545417
383,383,1-0582,16,15,1-0582,70,8,0,38,8.966616872698069,0.12809452675282956
161,161,1-7656,18,9,1-7656,48,6,0,5,6.127186430618167,0.12764971730454513
137,137,1-19257,7,12,1-19257,246,28,0,126,31.205098051577806,0.12684999207958458
545,545,1-8291,9,17,1-8291,16,2,0,1,2.0254372861236334,0.1265898303827271
406,406,1-6558,14,2,1-6558,24,3,0,1,3.0254372861236334,0.12605988692181805
274,274,1-8497,21,5,1-8497,34,4,0,11,4.279810147359967,0.12587676903999903
536,536,1-1964,15,10,1-1964,48,6,0,1,6.025437286123633,0.12552994346090904
397,397,1-6492,11,7,1-6492,48,6,0,0,6.0,0.125
282,282,1-7711,5,8,1-7711,8,1,0,0,1.0,0.125
15,15,1-5537,2,20,1-5537,32,4,0,0,4.0,0.125
404,404,1-9291,4,14,1-9291,78,9,0,29,9.737681297585368,0.12484206791776113
341,341,1-0983,13,3,1-0983,195,22,0,81,24.060420176014304,0.12338677013340668
169,169,1-1466,21,5,1-1466,73,9,0,0,9.0,0.1232876712328767
160,160,1-0363,8,4,1-0363,34,4,0,7,4.178061002865434,0.12288414714310099
332,332,1-6501,6,1,1-6501,107,13,0,4,13.101749144494534,0.1224462536868648
306,306,1-18987,5,8,1-18987,34,4,0,6,4.1526237167418,0.12213599166887648
59,59,1-2272,4,14,1-2272,412,48,0,90,50.289355751127005,0.12206154308525972
36,36,1-5686,12,13,1-5686,59,7,0,6,7.1526237167418,0.12123091045325085
121,121,1-8853,11,7,1-8853,33,4,0,0,4.0,0.12121212121212122
123,123,1-3472,13,3,1-3472,28,3,0,15,3.3815592918545008,0.12076997470908932
420,420,1-7057,16,15,1-7057,105,12,0,23,12.585057580843568,0.11985769124612922
542,542,1-5287,5,8,1-5287,18,2,0,6,2.1526237167418003,0.11959020648565558
275,275,1-1712,6,1,1-1712,157,18,0,29,18.737681297585368,0.11934828851965203
489,489,1-8058,21,5,1-8058,54,6,0,17,6.4324338641017675,0.11911914563151421
280,280,MLG09,2,20,MLG09,174,20,0,21,20.5341830085963,0.11801254602641552
371,371,MLG66,7,12,MLG66,229,23,0,153,26.891904776915908,0.11743189858915244
8,8,MLG59,5,8,MLG59,112,13,0,5,13.127186430618167,0.11720702170194792
230,230,1-8766,12,13,1-8766,26,3,0,1,3.0254372861236334,0.11636297254321668
498,498,MLG38,10,20,MLG38,26,3,0,1,3.0254372861236334,0.11636297254321668
357,357,1-7488,9,17,1-7488,65,7,0,22,7.5596202947199345,0.11630185068799899
318,318,1-3496,13,3,1-3496,192,20,0,85,22.162169320508838,0.11542796521098353
279,279,MLG03,15,10,MLG03,713,76,0,199,81.06201993860304,0.11369147256466065
451,451,1-7146,14,20,1-7146,18,2,0,1,2.0254372861236334,0.11252429367353518
417,417,1-3026,5,8,1-3026,570,62,0,70,63.78061002865434,0.11189580706781463
459,459,1-8284,3,6,1-8284,48,5,0,14,5.356122005730867,0.11158587511939307
85,85,1-8986,13,3,1-8986,57,6,0,14,6.356122005730867,0.11151091238124329
373,373,MLG73,4,14,MLG73,173,19,0,9,19.2289355751127,0.11114991661914855
155,155,1-7462,5,8,1-7462,336,34,0,131,37.33228448219597,0.11110798953034516
395,395,1-18620,21,5,1-18620,60,6,0,26,6.661369439214468,0.1110228239869078
264,264,1-1131,18,9,1-1131,200,21,0,39,21.992054158821702,0.10996027079410851
421,421,1-12345,9,17,1-12345,97,10,0,25,10.635932153090835,0.10964878508341067
388,388,1-8019,21,5,1-8019,320,33,0,74,34.88235917314887,0.10900737241609022
62,62,1-9114,1,19,1-9114,120,13,0,0,13.0,0.10833333333333334
295,295,1-7522,15,10,1-7522,67,7,0,10,7.254372861236334,0.10827422180949751
266,266,1-6554,2,20,1-6554,28,3,0,0,3.0,0.10714285714285714
99,99,1-7655,20,11,1-7655,38,4,0,2,4.050874572247267,0.10660196242755965
554,554,1-18770,5,8,1-18770,10,1,0,2,1.0508745722472668,0.10508745722472668
267,267,1-7715,8,4,1-7715,20,2,0,4,2.1017491444945335,0.10508745722472668
463,463,1-8187,5,8,1-8187,29,3,0,1,3.0254372861236334,0.10432542365943563
433,433,MLG55,2,20,MLG55,110,10,0,55,11.399050736799836,0.1036277339709076
182,182,1-4136,2,20,1-4136,20,2,0,1,2.0254372861236334,0.10127186430618167
39,39,1-8567,6,1,1-8567,388,37,0,83,39.11129474826157,0.10080230605222054
227,227,1-9542,15,10,1-9542,54,5,0,14,5.356122005730867,0.09918744455057162
10,10,1-7390,7,12,1-7390,43,4,0,10,4.254372861236334,0.09893890374968219
143,143,1-7302,7,12,1-7302,240,22,0,57,23.449925309047103,0.0977080221210296
86,86,1-10042,11,7,1-10042,21,2,0,2,2.0508745722472668,0.0976606939165365
32,32,1-7870,7,12,1-7870,82,8,0,0,8.0,0.0975609756097561
441,441,1-3717,21,5,1-3717,89,8,0,24,8.610494866967201,0.09674713333671013
431,431,1-9115,5,8,1-9115,22,2,0,5,2.127186430618167,0.09669029230082576
53,53,1-9340,4,14,1-9340,163,14,0,68,15.72973545640707,0.09650144451783478
396,396,1-11132,18,9,1-11132,34,3,0,11,3.2798101473599672,0.09646500433411669
151,151,1-11026,15,10,1-11026,21,2,0,1,2.0254372861236334,0.09644939457731587
471,471,1-8618,3,6,1-8618,53,5,0,4,5.1017491444945335,0.09625941782065157
152,152,1-1530,13,3,1-1530,632,54,0,244,60.206697814166546,0.09526376236418757
258,258,1-4654,9,17,1-4654,138,12,0,40,13.017491444945335,0.09432964815177779
363,363,1-7993,6,1,1-7993,100,9,0,17,9.432433864101768,0.09432433864101768
262,262,1-4394,21,5,1-4394,190,16,0,70,17.780610028654337,0.09358215804554915
490,490,1-6591,5,8,1-6591,79,6,0,54,7.373613450676203,0.09333687912248358
526,526,1-11205,20,11,1-11205,56,5,0,8,5.203498288989067,0.0929196123033762
247,247,1-8753,21,5,1-8753,258,22,0,76,23.933233745396137,0.09276447188138037
207,207,1-4766,11,7,1-4766,249,22,0,42,23.068366017192602,0.09264404022968917
422,422,1-3405,9,17,1-3405,72,6,0,21,6.534183008596301,0.09075254178605974
381,381,1-7987,4,14,1-7987,23,2,0,3,2.0763118583709,0.09027442862482174
225,225,1-17970,5,8,1-17970,36,3,0,8,3.203498288989067,0.08898606358302964
427,427,1-8613,7,12,1-8613,37,3,0,11,3.2798101473599672,0.08864351749621532
269,269,1-5271,3,6,1-5271,12,1,0,2,1.0508745722472668,0.08757288102060556
531,531,1-8951,6,1,1-8951,47,4,0,4,4.1017491444945335,0.08727125839350071
273,273,1-9157,15,10,1-9157,89,7,0,30,7.7631185837090015,0.08722605150234833
320,320,1-0541,6,1,1-0541,132,10,0,58,11.475362595170736,0.08693456511492982
242,242,1-1367,13,3,1-1367,66,5,0,28,5.712244011461735,0.08654915168881416
4,4,1-19133,1,19,1-19133,58,5,0,0,5.0,0.08620689655172414
365,365,1-18435,5,8,1-18435,37,3,0,7,3.1780610028654337,0.0858935406179847
203,203,1-19884,14,2,1-19884,60,5,0,5,5.127186430618167,0.08545310717696945
468,468,1-11523,14,2,1-11523,24,2,0,2,2.0508745722472668,0.08545310717696945
87,87,1-0708,16,15,1-0708,408,30,0,180,34.57871150225401,0.08475174387807355
434,434,1-6835,13,7,1-6835,36,3,0,1,3.0254372861236334,0.08403992461454537
418,418,1-1655,12,13,1-1655,132,10,0,29,10.737681297585368,0.08134607043625279
532,532,1-9182,13,3,1-9182,28,2,0,10,2.254372861236334,0.0805133164727262
514,514,1-6764,3,6,1-6764,38,3,0,1,3.0254372861236334,0.07961677068746403
278,278,1-3152,6,1,1-3152,323,24,0,64,25.627986311912537,0.07934361087279423
312,312,1-3364,6,1,1-3364,121,9,0,23,9.585057580843568,0.07921535190779808
105,105,1-8834,5,8,1-8834,39,3,0,3,3.0763118583709,0.0788797912402795
435,435,1-10882,3,14,1-10882,14,1,0,4,1.1017491444945335,0.07869636746389526
135,135,1-7499,21,5,1-7499,26,2,0,1,2.0254372861236334,0.07790143408167821
125,125,1-7581,16,17,1-7581,42,3,0,9,3.2289355751127005,0.0768794184550643
14,14,MLG78,2,20,MLG78,94,7,0,8,7.203498288989067,0.07663296052116028
71,71,MLG26,1,19,MLG26,155,11,0,29,11.737681297585368,0.07572697611345398
473,473,1-3174,9,17,1-3174,117,8,0,33,8.839430442079902,0.07555068753914446
457,457,1-9071,6,1,1-9071,75,5,0,24,5.610494866967201,0.07480659822622936
315,315,MLG31,1,19,MLG31,42,3,0,4,3.1017491444945335,0.0738511701070127
245,245,1-10305,2,20,1-10305,28,2,0,2,2.0508745722472668,0.07324552043740239
66,66,1-7348,18,9,1-7348,43,3,0,2,3.0508745722472668,0.07095057144761086
263,263,1-7486,4,14,1-7486,29,2,0,2,2.0508745722472668,0.07071981283611264
534,534,MLG48,7,12,MLG48,116,6,0,85,8.162169320508838,0.0703635286250762
285,285,1-6727,6,1,1-6727,235,15,0,58,16.475362595170736,0.07010792593689676
568,568,1-7910,7,12,1-7910,15,1,0,2,1.0508745722472668,0.07005830481648445
171,171,1-3300,8,4,1-3300,29,2,0,1,2.0254372861236334,0.06984266503874598
552,552,1-9396,20,11,1-9396,16,1,0,4,1.1017491444945335,0.06885932153090835
276,276,1-9548,4,10,1-9548,16,1,0,4,1.1017491444945335,0.06885932153090835
218,218,MLG11,8,4,MLG11,493,25,0,327,33.31799256242812,0.06758213501506717
33,33,1-0997,11,7,1-0997,33,2,0,9,2.2289355751127005,0.06754350227614243
199,199,1-0529,13,3,1-0529,124,7,0,53,8.34817616455257,0.06732400132703685
523,523,MLG04,20,11,MLG04,16,1,0,3,1.0763118583709002,0.06726949114818126
456,456,1-2006,16,15,1-2006,40,2,0,26,2.661369439214468,0.0665342359803617
24,24,1-2742,4,14,1-2742,154,9,0,39,9.992054158821702,0.06488346856377729
18,18,1-5635,15,10,1-5635,417,22,0,194,26.934833507984877,0.06459192687766158
196,196,1-8537,21,5,1-8537,47,3,0,1,3.0254372861236334,0.06437100608773688
223,223,1-5109,7,12,1-5109,37,2,0,15,2.3815592918545008,0.06436646734741894
447,447,7W2-0103,16,15,7W2-0103,33,2,0,3,2.0763118583709,0.06291854116275455
19,19,1-9515,18,9,1-9515,66,4,0,5,4.127186430618167,0.0625331277366389
60,60,1-0916,15,10,1-0916,215,12,0,56,13.42448802292347,0.06243947917638823
349,349,MLG57,1,19,MLG57,165,10,0,11,10.279810147359967,0.0623018796809695
322,322,MLG22,1,19,MLG22,33,2,0,2,2.0508745722472668,0.06214771431052324
384,384,1-0584,8,4,1-0584,41,2,0,21,2.534183008596301,0.06180934167308051
232,232,1-3186,9,17,1-3186,796,43,0,208,48.290955513715744,0.060667029539843896
