anon-netid,blocks
01cbd19c6c1cc7e28cc8e4d31f58e92a43d279d3a5791493199a2acb24ecae10,[15]
01ceab0b6ad84f0331bdf7da68cecc87517a68e795ef707c5f54c7b64a5f0b16,"[15, 20, 13, 6, 12]"
01d249d0b6d1784ac7ef3f3cc9c7ca9e98e958dd38a98a6185cda7f4612ffcc4,"[3, 14, 13]"
01d699e8a4d5291ab94638bf12464ae6f9b413501047701d19fed547dd44644b,[16]
01d9a9c0df5983324564a7f3954351a862bd3189a494f59002e19efaf53e79f2,"[10, 16, 3, 8]"
01db5ce9ba5550deb5c27798a887e322c42d0312572f4ab71ab724cad50360f9,"[6, 14, 16]"
01dc4ece875304a0e1134f0f3a0ee8997222496e775f327cb7cce09f9557947c,"[2, 15, 18]"
01dca75629c358d055a0a49bc99005394f2c2b328e196285b630cb2e245af6db,"[6, 20, 8]"
01df8278cfc26a7dfaa35d58a0be575df1ddda004552d2b19ebda65740cbcdfe,"[12, 19, 4, 3]"
01dffa462f61e418ee8804fb6d592e66b3bb4e621ffda9062d8aeb45f8c49aaa,"[7, 16, 5]"
01e07dd0699608168a9e51f73e5603de527ff96f134790cc277392efd982f9cf,"[18, 3, 9, 15]"
01e344b88382ce8d3d258ddf8ed1463740b50416b24088ae99abe1046a3236d9,"[15, 7, 8]"
01f195498e25d8b1f9beea99ea15f697ede906be62a53b4bbbbe8cdcfee65bb3,"[2, 14]"
01f1a18cec5e78e782f7ae3d0ea5431994db055b5bbefcb5fea8d6fcdfd05d57,"[20, 2, 7]"
01f1a3ffea4915cd9d391feb8281434ac05c6596c7709a29127d5cebe09fdea3,"[15, 2, 17, 1]"
01f4f83292eb14e6cc2802d9421949b0c98d461aec706b007da62efe64eced34,"[7, 9, 11]"
01f8c08978271274fbedfe091db65039105c8a0721273e910a53c3b4f353ba1b,[9]
01f9f868d45e48a1674d13278f33fed7df5db6af3f8146f7d9013423d180da9b,[10]
01fae1b7f3f154ab2e36326c87f16d5bf90a43f9ebc636b47fdf18a9ce97b1bc,"[3, 13]"
01fbbad06654796e5523aeea1203068641a049348b6556b4bceb867d91b90099,"[20, 8, 4]"
020192263a8206c7ea27d111fb0fa8a7d5b9864f60994f3d4c99b88de108b904,"[12, 3, 13, 17, 15]"
0208970f5cfcccfbbd57e4fda575a298244caab0363182382a3ba925e219467d,"[19, 20, 16]"
020a4fabc68abca7f27ae143a63efcb7a5d7161b79cff8bb7e89ec4b9a74deaf,"[15, 2, 4, 17]"
020dc821effc4ad2856b93e2a4447c057621a982bd636b4a86c992c49b35e0b8,"[15, 6, 4]"
020f13e2aed82b17e42be04282f9db95e1a404382b5a882aaf6198d116a8dfa6,[10]
0210ea91472f42355590e28f0111277f8b0c513268277c34e06838af7f200708,"[11, 8, 3]"
0212cf215f6f6fb945d85c34f9cf321b57b0a02ff2a5508e4bc2528945a12957,[3]
0213fdff5165cd1909ff80f69c229a3618e5ec5b1efb387704347c3610382b07,"[11, 15]"
021446fd2f066e2a48c555f15106d1d41f2f3496eca9c1a2c9be1a55ff5c276e,"[2, 9]"
0215223ba6acd95a9171a06496a196ae7c8c9093db7f92ce6757e290c3163a85,[11]
021cc628cae76861d2ddc0ef97c153d4a3dbd4103809b6fddf08f6feea3ffc1c,"[6, 13]"
021d9c8e922b03c0d15fbb248fdb764fb1d64ad280297535cf3c6854255e9ab7,"[12, 20, 1]"
02206e4591a2350af9b23451a9654bb0aad6eab5eb870a4f74f4af5eafd3ba23,[5]
0220aac3f9490ce2bae1c633f2b7da71cbcd1f1d0d04f07283771b69c314acad,"[7, 8]"
02247ca58df94abfd378604d832773f983cb89b740cc83ca05f2cd97d627331e,"[8, 20, 3]"
022ac83b9b68fa028cc180ca05d7eecd11dd773be03a494f17b3c5db727524fc,"[10, 5]"
022c18f3c1e985aa6753009cec22edbfcedb0aff8950b1dc21d6960e87bfd8de,"[15, 7, 17]"
022eb1e87ccece7c6acf514fae363e47b3a5a0616cc5fcb0dcaeb6c057070a6f,[9]
0235f496b11fe4a29129cb2faf6a75f4bcec9ff4e2c5f23f811ab7abbb352974,[17]
0236e9d5099fa947f5b8229947892c297db988f781083cd3e734a45982981c80,"[9, 13, 14]"
023b8369f94307cea4119654aacfc1c8567a471f2af649c1025b85de18af8ad1,"[15, 2]"
023cf7a973aecc6d2d92ef1a4257d8cd2e26e997d38c6ff18955a42e01cf3970,"[12, 11, 10, 4, 6]"
023e636b535a7bdb6a1c2f92f5ce5a6b8133ee50d140db83ebf2a64520ff2dc3,"[1, 19, 20, 8]"
024214ebf5448359a4d15a07edca936061443875fa7d36cb83437443125b46b3,[12]
02422f5e4158efcb38ce79c340a1a98ff2019f4e6692507b9e7fbb234793adf9,"[12, 11, 2, 1, 13]"
0244045884e792f4c6bab37b37a6d7b0ca27b97f5cf3b072e90b6ac8c202529f,[16]
02452bd9a46dd54ab6e86e2d3a8286f8aa0360544652e0d67b571b79745d054b,"[9, 2, 1]"
0245ac85a1779e8a829212aba13b807c78d68864d4d8b36e03b0d4ba8fcd64f3,"[2, 7]"
0246bfb75dda0cb39a52b35204c25cbc4a926fcadb52227ae82598b4a36c0c4e,"[6, 8, 9]"
0247fab9379ff02bf52f8dfda3df9534c625a6430b72aa15eb00353dcea1bc8c,"[16, 9, 10]"
024ba528cea237011fee06dfc7443a9813a516ebffc9ecef491cb73af350dd5c,"[7, 12]"
0250c3c9db564f0f39e1de9422e4a228ff1036a189f7ac579d35d666eab03957,"[1, 12]"
02575abdd1af31df301e6de2f9c86a9e1963241a26c139fcdd62838f264831fa,"[3, 14, 1]"
025b2ce1415876415f12479006f60b0b280e0136ecaa2e63a472c1a72fe5c510,"[6, 16, 20, 1]"
025b9dff3c9b4aa8ac209fae9f03723680e441b00536aa4709f41a1923dd155d,"[9, 2, 20, 18]"
026b30a8252887d4dc8fc38fac8fc8f4bc6c7d2f8dd56cea28e5006d9ac4a846,"[12, 6]"
026b62ac04e2575c0f4c3cb6fbdd2429b3b85c97cec3771a03002f052e730419,"[15, 8]"
026b90be707cec8c7c08dbc7d7a9d29710e8c8800c8d2ff09c3ebe3167a09843,"[7, 10, 20, 17]"
026c0e9c1b2ec680630c78d57c5dc49ef5379bd6d8c7343abb8dfa1682430eba,"[13, 1, 17]"
026eafd3438904a21d8c0f6f1ee1bf80b9c1733bceceab9a95df09e0d6a58db2,"[13, 14, 6, 8]"
0272deabcaa3adb3fc7b092fe6ce524c4a47e185358153c5a68cecada4765892,"[1, 2, 17]"
027627b52565b2d9ae4cc07479d69b0bb7e9b5d290e77eba0cfbe7f9133bcd4e,"[7, 2, 8, 9]"
0279e1365df68b3c27b20a7fd7a43df15b55e9e275b91adec2aa2667c1eac476,[3]
027dacd352f4ec9df97aee6449654da9b2a10ef5d57ea9a79abfe343f028e498,[20]
02882c721287d4d4001e7139b7f3432cf2fe6cf60254a6e74b6bfd507c733cd6,"[16, 4, 16]"
028bf6912a8eb9f8a5fdefc5f58e924640863de22f7271449d4b7376b7cac8c8,"[9, 18, 13, 8, 4]"
