,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
298,1-4929,15,20,1-4929,10,1,0,1,1.900754034519196,0.1900754034519195
299,1-7897,21,2,1-7897,95,18,0,0,18.0,0.1894736842105263
300,1-18613,14,23,1-18613,25,2,0,3,4.702262103557587,0.1880904841423034
301,MLG08,22,17,MLG08,107,3,0,19,20.11432665586472,0.1879843612697637
302,1-1204,8,5,1-1204,39,1,0,7,7.305278241634369,0.1873148267085735
303,1-8094,10,15,1-8094,58,9,0,2,10.801508069038391,0.1862328977420412
304,1-20047,7,18,1-20047,20,1,0,3,3.702262103557586,0.1851131051778793
305,1-8066,5,16,1-8066,86,6,0,11,15.908294379711151,0.1849801672059436
306,1-8493,20,2,1-8493,38,7,0,0,7.0,0.1842105263157894
307,1-0358,3,24,1-0358,22,4,0,0,4.0,0.1818181818181818
308,1-9850,1,21,1-9850,27,4,0,1,4.900754034519196,0.1815094086858961
309,1-9115,3,24,1-9115,16,2,0,1,2.900754034519196,0.1812971271574497
310,1-7204,21,18,1-7204,26,2,0,3,4.702262103557587,0.1808562347522148
311,1-9805,6,11,1-9805,26,2,0,3,4.702262103557587,0.1808562347522148
312,1-4700,8,5,1-4700,31,2,0,4,5.603016138076782,0.1807424560669929
313,1-10038,9,12,1-10038,76,11,0,3,13.702262103557588,0.1802929224152314
314,1-0033,16,19,1-0033,10,0,0,2,1.8015080690383911,0.1801508069038391
315,1-7521,2,22,1-7521,10,0,0,2,1.8015080690383911,0.1801508069038391
316,1-9902,5,16,1-9902,30,0,0,6,5.404524207115173,0.1801508069038391
317,1-3216,1,21,1-3216,5,0,0,1,0.9007540345191956,0.1801508069038391
318,1-9836,6,11,1-9836,5,0,0,1,0.9007540345191956,0.1801508069038391
319,1-6718,7,18,1-6718,20,0,0,4,3.6030161380767822,0.1801508069038391
320,1-19222,15,20,1-19222,15,0,0,3,2.7022621035575867,0.1801508069038391
321,1-17790,10,1,1-17790,5,0,0,1,0.9007540345191956,0.1801508069038391
322,1-9839,16,19,1-9839,20,0,0,4,3.6030161380767822,0.1801508069038391
323,1-8820,2,22,1-8820,83,5,0,11,14.908294379711151,0.1796180045748331
324,1-1224,18,1,1-1224,151,10,0,19,27.11432665586472,0.179565077191157
325,1-8267,8,5,1-8267,133,13,0,12,23.809048414230347,0.1790154016107545
326,1-0053,3,24,1-0053,142,11,0,16,25.41206455230713,0.1789582010725854
327,1-9831,18,1,1-9831,132,11,0,14,23.61055648326873,0.1788678521459752
328,1-7481,14,6,1-7481,33,5,0,1,5.900754034519196,0.1788107283187635
329,1-6980,7,18,1-6980,128,3,0,22,22.816588759422302,0.1782545996829867
330,1-7140,22,17,1-7140,397,47,0,26,70.41960489749908,0.1773793574244309
331,1-4855,17,8,1-4855,22,3,0,1,3.900754034519196,0.1773070015690543
332,1-3584,4,9,1-3584,26,1,0,4,4.603016138076782,0.1770390822337224
333,1-8529,14,6,1-8529,56,9,0,1,9.900754034519196,0.1767991791878427
334,1-8503,4,9,1-8503,16,1,0,2,2.801508069038391,0.1750942543148994
335,1-9452,2,22,1-9452,16,1,0,2,2.801508069038391,0.1750942543148994
336,1-6538,12,13,1-6538,44,5,0,3,7.702262103557587,0.1750514114444906
337,MLG50,15,20,MLG50,319,26,0,33,55.72488313913345,0.1746861540411707
338,1-5653,2,22,1-5653,11,1,0,1,1.900754034519196,0.1727958213199268
339,1-9457,2,22,1-9457,11,1,0,1,1.900754034519196,0.1727958213199268
340,1-9516,11,3,1-9516,76,5,0,9,13.10678631067276,0.1724577146141152
341,1-3516,8,5,1-3516,156,7,0,22,26.816588759422302,0.1719012099962968
342,1-0303,19,23,1-0303,212,31,0,6,36.40452420711517,0.171719453807147
343,1-0296,12,8,1-0296,41,6,0,1,6.900754034519196,0.1683110740126633
344,1-3106,5,16,1-3106,34,3,0,3,5.702262103557587,0.1677135912811055
345,1-9404,18,1,1-9404,100,5,0,13,16.709802448749542,0.1670980244874954
346,1-8222,10,15,1-8222,12,2,0,0,2.0,0.1666666666666666
347,1-7525,2,22,1-7525,6,1,0,0,1.0,0.1666666666666666
348,1-3068,8,5,1-3068,180,10,0,22,29.816588759422302,0.1656477153301239
349,1-18487,3,24,1-18487,23,2,0,2,3.801508069038391,0.1652829595234083
350,1-6035,6,11,1-6035,23,2,0,2,3.801508069038391,0.1652829595234083
351,1-7213,4,9,1-7213,23,2,0,2,3.801508069038391,0.1652829595234083
352,1-3639,13,8,1-3639,17,1,0,2,2.801508069038391,0.1647945922963759
353,1-8398,10,23,1-8398,54,7,0,2,8.801508069038391,0.1629908901673776
354,1-8590,13,8,1-8590,24,3,0,1,3.900754034519196,0.1625314181049665
355,1-7058,14,6,1-7058,80,11,0,2,12.801508069038391,0.1600188508629799
356,1-0003,1,21,1-0003,17,0,0,3,2.7022621035575867,0.1589565943269168
357,1-9055,13,8,1-9055,12,1,0,1,1.900754034519196,0.1583961695432663
358,1-6916,3,15,1-6916,43,5,0,2,6.801508069038391,0.1581746062567067
359,1-20578,13,8,1-20578,19,3,0,0,3.0,0.1578947368421052
360,1-7744,5,16,1-7744,37,4,0,2,5.801508069038391,0.1567975153794159
361,1-6543,2,22,1-6543,12,0,0,2,1.8015080690383911,0.1501256724198659
362,1-9465,11,3,1-9465,18,0,0,3,2.7022621035575867,0.1501256724198659
363,1-4842,14,6,1-4842,6,0,0,1,0.9007540345191956,0.1501256724198659
364,1-3551,4,17,1-3551,6,0,0,1,0.9007540345191956,0.1501256724198659
365,1-9946,6,11,1-9946,12,0,0,2,1.8015080690383911,0.1501256724198659
