Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
277,277,277,277,277,277,277,277,277,277,1-10060,8,1-10060,8,36,1,0,30,8.064796835184097,0.22402213431066936
490,490,490,490,490,490,490,490,490,490,1-8634,13,1-8634,5,10,2,0,1,2.23549322783947,0.22354932278394699
297,297,297,297,297,297,297,297,297,297,1-9630,16,1-9630,16,33,5,0,10,7.354932278394699,0.22287673570893027
331,331,331,331,331,331,331,331,331,331,1-5981,6,1-5981,18,28,2,0,18,6.238878101110458,0.22281707503965922
74,74,74,74,74,74,74,74,74,74,1-8074,7,1-8074,9,145,25,0,31,32.30029006302357,0.22276062112430045
129,129,129,129,129,129,129,129,129,129,1-4531,18,1-4531,21,94,19,0,8,20.88394582271576,0.2221696364118698
223,223,223,223,223,223,223,223,223,223,1-6228,2,1-6228,21,48,9,0,7,10.64845259487629,0.22184276239325604
203,203,203,203,203,203,203,203,203,203,1-9938,8,1-9938,8,55,6,0,26,12.122823923826218,0.22041498043320396
406,406,406,406,406,406,406,406,406,406,1-3265,15,1-3265,18,19,3,0,5,4.1774661391973495,0.21986663890512367
150,150,150,150,150,150,150,150,150,150,1-3083,6,1-3083,4,78,11,0,26,17.122823923826218,0.21952338363879767
385,385,385,385,385,385,385,385,385,385,1-18615,6,1-18615,4,22,2,0,12,4.825918734073639,0.21935994245789267
55,55,55,55,55,55,55,55,55,55,1-1462,12,1-1462,14,192,18,0,102,42.02030923962593,0.2188557772897184
269,269,269,269,269,269,269,269,269,269,1-8551,12,1-8551,14,38,5,0,14,8.296905189752579,0.2183396102566468
423,423,423,423,423,423,423,423,423,423,MLG46,18,MLG46,10,17,3,0,3,3.7064796835184097,0.2180282166775535
439,439,439,439,439,439,439,439,439,439,1-4682,2,1-4682,21,16,3,0,2,3.47098645567894,0.21693665347993374
126,126,126,126,126,126,126,126,126,126,1-6693,10,1-6693,11,98,12,0,39,21.184235885739326,0.2161656723034625
371,371,371,371,371,371,371,371,371,371,1-6035,2,1-6035,21,23,4,0,4,4.94197291135788,0.2148683874503426
280,280,280,280,280,280,280,280,280,280,1-8314,2,1-8314,21,36,3,0,20,7.709864556789398,0.21416290435526106
89,89,89,89,89,89,89,89,89,89,1-9831,8,1-9831,8,132,12,0,69,28.249032720923424,0.21400782364335927
386,386,386,386,386,386,386,386,386,386,1-4855,11,1-4855,12,22,4,0,3,4.70647968351841,0.21393089470538226
180,180,180,180,180,180,180,180,180,180,1-10539,14,1-10539,3,63,10,0,14,13.296905189752579,0.21106198713892982
233,233,233,233,233,233,233,233,233,233,1-3587,13,1-3587,5,46,8,0,7,9.64845259487629,0.20974896945383237
360,360,360,360,360,360,360,360,360,360,1-7993,12,1-7993,14,24,1,0,17,5.0033848732709885,0.20847436971962452
28,28,28,28,28,28,28,28,28,28,1-7005,12,1-7005,14,285,21,0,159,58.443423226475716,0.2050646428999148
215,215,215,215,215,215,215,215,215,215,MLG40,16,MLG40,16,51,9,0,6,10.41295936703682,0.20417567386346705
0,0,0,0,0,0,0,0,0,0,1-6098,10,1-6098,11,1327,132,0,587,270.23452474176884,0.203643198750391
324,324,324,324,324,324,324,324,324,324,1-5515,13,1-5515,5,29,4,0,8,5.883945822715759,0.20289468354192272
157,157,157,157,157,157,157,157,157,157,1-17733,8,1-17733,8,74,11,0,17,15.003384873270988,0.20274844423339172
44,44,44,44,44,44,44,44,44,44,1-0008,4,1-0008,1,230,1,0,193,46.45019297301769,0.20195736075225085
64,64,64,64,64,64,64,64,64,64,MLG29,10,MLG29,11,164,18,0,64,33.071566581726074,0.20165589379101265
300,300,300,300,300,300,300,300,300,300,1-18709,9,1-18709,10,33,5,0,7,6.648452594876289,0.20146826045079666
