Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
435,435,435,435,435,435,1-9610,8,4,1-9610,49,7,0,14,10.87763798236847,0.2219926118850708
307,307,307,307,307,307,1-5530,17,9,1-5530,7,1,0,2,1.5539482831954956,0.2219926118850708
10,10,10,10,10,10,1-7964,6,10,1-7964,202,42,0,10,44.76974141597748,0.22163238324741324
381,381,381,381,381,381,1-2335,8,4,1-2335,145,21,0,40,32.07896566390991,0.2212342459579994
375,375,375,375,375,375,MLG14,15,11,MLG14,232,42,0,33,51.14014667272568,0.22043166669278308
309,309,309,309,309,309,1-3516,11,5,1-3516,156,25,0,33,34.14014667272568,0.21884709405593383
362,362,362,362,362,362,1-1462,9,15,1-1462,192,14,0,101,41.97438830137253,0.21861660573631525
207,207,207,207,207,207,1-7058,1,18,1-7058,80,16,0,5,17.38487070798874,0.21731088384985925
540,540,540,540,540,540,1-5413,17,9,1-5413,39,4,0,16,8.431586265563965,0.21619451962984526
173,173,173,173,173,173,1-9588,11,5,1-9588,14,3,0,0,3.0,0.21428571428571427
531,531,531,531,531,531,1-5891,14,14,1-5891,96,20,0,2,20.553948283195496,0.21410362794995308
331,331,331,331,331,331,MLG75,2,19,MLG75,185,24,0,56,39.51055192947388,0.21357055097012906
473,473,473,473,473,473,1-9452,2,19,1-9452,16,2,0,5,3.384870707988739,0.2115544192492962
538,538,538,538,538,538,1-9576,15,11,1-9576,10,1,0,4,2.107896566390991,0.21078965663909913
524,524,524,524,524,524,1-9338,15,11,1-9338,29,5,0,4,6.107896566390991,0.2106171229789997
434,434,434,434,434,434,MLG59,4,20,MLG59,71,13,0,7,14.938818991184235,0.210405901284285
348,348,348,348,348,348,1-17758,4,20,1-17758,40,7,0,5,8.384870707988739,0.20962176769971846
562,562,562,562,562,562,1-0003,10,12,1-0003,17,3,0,2,3.5539482831954956,0.20905578136444092
504,504,504,504,504,504,1-5425,12,7,1-5425,17,3,0,2,3.5539482831954956,0.20905578136444092
162,162,162,162,162,162,1-8067,12,7,1-8067,322,42,0,91,67.20464688539505,0.20871008349501569
357,357,357,357,357,357,1-4760,6,10,1-4760,40,5,0,12,8.323689699172974,0.20809224247932434
159,159,159,159,159,159,1-10696,2,19,1-10696,24,0,0,18,4.9855345487594604,0.20773060619831085
266,266,266,266,266,266,1-2103,2,19,1-2103,26,4,0,5,5.384870707988739,0.20711041184572074
354,354,354,354,354,354,1-9417,12,7,1-9417,76,11,0,17,15.708560407161713,0.20669158430475937
445,445,445,445,445,445,1-6538,8,4,1-6538,44,6,0,11,9.046715557575226,0.2056071717630733
415,415,415,415,415,415,1-1957,4,20,1-1957,47,8,0,6,9.661844849586487,0.20557116701247843
427,427,427,427,427,427,1-9379,2,19,1-9379,58,8,0,14,11.87763798236847,0.2047868617649736
499,499,499,499,499,499,1-8627,10,12,1-8627,25,4,0,4,5.107896566390991,0.20431586265563964
86,86,86,86,86,86,1-9345,15,11,1-9345,47,9,0,2,9.553948283195496,0.2032754953871382
283,283,283,283,283,283,1-3535,8,4,1-3535,315,55,0,32,63.86317253112793,0.20274023025754898
104,104,104,104,104,104,1-8267,11,5,1-8267,133,18,0,32,26.86317253112793,0.20197874083554834
284,284,284,284,284,284,1-4136,1,18,1-4136,5,1,0,0,1.0,0.2
535,535,535,535,535,535,1-5990,15,11,1-5990,5,1,0,0,1.0,0.2
220,220,220,220,220,220,MLG73,15,11,MLG73,10,2,0,0,2.0,0.2
174,174,174,174,174,174,MLG38,4,20,MLG38,77,14,0,5,15.384870707988739,0.19980351568816543
106,106,106,106,106,106,MLG69,20,13,MLG69,576,59,0,200,114.39482831954956,0.198602132499218
452,452,452,452,452,452,1-8529,2,19,1-8529,56,10,0,4,11.107896566390991,0.19835529582841055
398,398,398,398,398,398,1-0303,7,1,1-0303,212,42,0,0,42.0,0.19811320754716982
48,48,48,48,48,48,1-0405,1,18,1-0405,64,2,0,38,12.525017380714417,0.19570339657366276
191,191,191,191,191,191,1-8328,18,8,1-8328,114,18,0,15,22.154612123966217,0.19433870284180893
288,288,288,288,288,288,1-8590,8,4,1-8590,24,3,0,6,4.661844849586487,0.19424353539943695
558,558,558,558,558,558,1-0055,10,12,1-0055,18,1,0,9,3.4927672743797302,0.19404262635442945
231,231,231,231,231,231,1-8450,14,14,1-8450,52,7,0,11,10.046715557575226,0.1932060684149082
