,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
521,1-7608,21,23,1-7608,4,0,0,0,0.0,0.0
522,1-8678,18,24,1-8678,17,0,0,0,0.0,0.0
523,1-9818,4,1,1-9818,28,0,0,0,0.0,0.0
524,1-8093,12,9,1-8093,4,0,0,0,0.0,0.0
525,1-19567,4,1,1-19567,2,0,0,0,0.0,0.0
526,1-19924,20,10,1-19924,1,0,0,0,0.0,0.0
527,1-20047,5,24,1-20047,20,0,0,0,0.0,0.0
528,1-6217,7,24,1-6217,44,0,0,0,0.0,0.0
529,1-9576,3,1,1-9576,10,0,0,0,0.0,0.0
530,1-6531,1,23,1-6531,27,0,0,0,0.0,0.0
531,1-5914,6,5,1-5914,3,0,0,0,0.0,0.0
532,1-7599,10,12,1-7599,3,0,0,0,0.0,0.0
533,1-8401,10,12,1-8401,57,0,0,0,0.0,0.0
534,1-2025,3,11,1-2025,41,0,0,0,0.0,0.0
535,1-7995,4,1,1-7995,14,0,0,0,0.0,0.0
536,1-9500,2,5,1-9500,33,0,0,0,0.0,0.0
537,1-4847,8,24,1-4847,2,0,0,0,0.0,0.0
538,1-9607,7,8,1-9607,19,0,0,0,0.0,0.0
539,1-5424,18,7,1-5424,5,0,0,0,0.0,0.0
540,1-5990,14,13,1-5990,5,0,0,0,0.0,0.0
541,1-10948,13,5,1-10948,2,0,0,0,0.0,0.0
542,1-9253,2,3,1-9253,24,0,0,0,0.0,0.0
543,1-2178,3,11,1-2178,12,0,0,0,0.0,0.0
544,1-10698,8,24,1-10698,6,0,0,0,0.0,0.0
545,1-10444,4,1,1-10444,8,0,0,0,0.0,0.0
546,1-17645,8,24,1-17645,9,0,0,0,0.0,0.0
547,1-6028,8,24,1-6028,2,0,0,0,0.0,0.0
548,1-8021,14,13,1-8021,58,0,0,0,0.0,0.0
549,1-8020,14,13,1-8020,56,0,0,0,0.0,0.0
550,1-7213,9,20,1-7213,23,0,0,0,0.0,0.0
551,1-10762,11,14,1-10762,6,0,0,0,0.0,0.0
552,1-3178,8,24,1-3178,6,0,0,0,0.0,0.0
553,1-7527,10,1,1-7527,1,0,0,0,0.0,0.0
554,1-4926,9,20,1-4926,4,0,0,0,0.0,0.0
555,1-3175,2,3,1-3175,6,0,0,0,0.0,0.0
556,1-2153,21,4,1-2153,13,0,0,0,0.0,0.0
557,1-9861,1,23,1-9861,8,0,0,0,0.0,0.0
558,1-20467,3,11,1-20467,13,0,0,0,0.0,0.0
559,1-9955,4,1,1-9955,60,0,0,0,0.0,0.0
560,1-4088,14,13,1-4088,30,0,0,0,0.0,0.0
561,1-7066,4,1,1-7066,23,0,0,0,0.0,0.0
562,1-8641,9,20,1-8641,30,0,0,0,0.0,0.0
563,1-18202,15,17,1-18202,23,0,0,0,0.0,0.0
564,1-10951,8,24,1-10951,1,0,0,0,0.0,0.0
565,1-9806,1,23,1-9806,8,0,0,0,0.0,0.0
