Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
528,528,528,528,528,528,528,528,528,1-6718,19,8,1-6718,20,0,0,7,5.1194988489151,0.255974942445755
396,396,396,396,396,396,396,396,396,1-9963,6,10,1-9963,116,12,0,24,29.55256748199463,0.25476351277581577
309,309,309,309,309,309,309,309,309,1-3516,13,5,1-3516,156,19,0,28,39.4779953956604,0.2530640730491051
560,560,560,560,560,560,560,560,560,1-0027,3,18,1-0027,29,0,0,10,7.313569784164429,0.25219206152291135
519,519,519,519,519,519,519,519,519,1-4926,1,1,1-4926,4,1,0,0,1.0,0.25
404,404,404,404,404,404,404,404,404,1-4682,17,9,1-4682,16,4,0,0,4.0,0.25
142,142,142,142,142,142,142,142,142,P-16454,1,11,P-16454,8,2,0,0,2.0,0.25
529,529,529,529,529,529,529,529,529,1-6217,5,21,1-6217,44,11,0,0,11.0,0.25
502,502,502,502,502,502,502,502,502,1-20012,1,11,1-20012,12,3,0,0,3.0,0.25
547,547,547,547,547,547,547,547,547,MLG67,15,2,MLG67,27,6,0,1,6.731356978416443,0.24930951771912752
33,33,33,33,33,33,33,33,33,1-7991,4,4,1-7991,46,10,0,2,11.462713956832886,0.24918943384419318
150,150,150,150,150,150,150,150,150,1-7005,18,16,1-7005,285,30,0,56,70.9559907913208,0.2489683887414765
243,243,243,243,243,243,243,243,243,1-1015,13,5,1-1015,155,2,0,50,38.567848920822144,0.24882483174723963
438,438,438,438,438,438,438,438,438,MLG10,17,15,MLG10,60,12,0,4,14.925427913665771,0.24875713189442952
219,219,219,219,219,219,219,219,219,1-5653,5,21,1-5653,11,2,0,1,2.731356978416443,0.24830517985604025
521,521,521,521,521,521,521,521,521,1-19549,6,10,1-19549,29,5,0,3,7.194070935249329,0.24807141156032167
105,105,105,105,105,105,105,105,105,1-1258,6,10,1-1258,435,71,0,50,107.56784892082214,0.2472824113122348
43,43,43,43,43,43,43,43,43,1-8705,1,11,1-8705,48,6,0,8,11.850855827331543,0.24689282973607382
305,305,305,305,305,305,305,305,305,1-7866,8,13,1-7866,318,58,0,28,78.4779953956604,0.24678614904295723
377,377,377,377,377,377,377,377,377,1-7213,7,1,1-7213,23,2,0,5,5.656784892082214,0.24594716922096585
218,218,218,218,218,218,218,218,218,1-9416,3,18,1-9416,13,1,0,3,3.1940709352493286,0.24569776424994835
104,104,104,104,104,104,104,104,104,1-8267,13,5,1-8267,133,15,0,24,32.55256748199463,0.24475614648116262
195,195,195,195,195,195,195,195,195,1-2670,19,8,1-2670,104,2,0,32,25.403423309326172,0.2442636856665978
439,439,439,439,439,439,439,439,439,MLG72,3,18,MLG72,9,0,0,3,2.1940709352493286,0.24378565947214761
496,496,496,496,496,496,496,496,496,1-3176,1,11,1-3176,3,0,0,1,0.7313569784164429,0.24378565947214761
290,290,290,290,290,290,290,290,290,1-8341,5,21,1-8341,197,29,0,26,48.015281438827515,0.243732393090495
51,51,51,51,51,51,51,51,51,1-9925,22,6,1-9925,93,16,0,9,22.582212805747986,0.24281949253492457
253,253,253,253,253,253,253,253,253,1-4649,18,16,1-4649,244,23,0,49,58.8364919424057,0.24113316369838403
407,407,407,407,407,407,407,407,407,1-8421,6,10,1-8421,109,18,0,11,26.04492676258087,0.2389442822255126
482,482,482,482,482,482,482,482,482,1-4390,22,23,1-4390,45,7,0,5,10.656784892082214,0.23681744204627142
520,520,520,520,520,520,520,520,520,1-2034,11,20,1-2034,16,3,0,1,3.731356978416443,0.23320981115102768
224,224,224,224,224,224,224,224,224,1-9227,18,16,1-9227,801,88,0,135,186.7331920862198,0.23312508375308338
261,261,261,261,261,261,261,261,261,1-1942,3,18,1-1942,34,5,0,4,7.9254279136657715,0.23310082099016974
356,356,356,356,356,356,356,356,356,1-9761,13,15,1-9761,35,3,0,7,8.1194988489151,0.23198568139757428
536,536,536,536,536,536,536,536,536,1-9971,21,14,1-9971,15,2,0,2,3.4627139568328857,0.23084759712219238
466,466,466,466,466,466,466,466,466,1-5981,8,13,1-5981,28,5,0,2,6.462713956832886,0.23081121274403163
459,459,459,459,459,459,459,459,459,1-2545,20,17,1-2545,145,15,0,25,33.28392446041107,0.22954430662352462
191,191,191,191,191,191,191,191,191,1-8328,13,5,1-8328,114,13,0,18,26.16442561149597,0.22951250536399975
170,170,170,170,170,170,170,170,170,1-5043,6,10,1-5043,123,11,0,23,27.821210503578186,0.22618870328112348
448,448,448,448,448,448,448,448,448,1-3106,21,14,1-3106,34,4,0,5,7.656784892082214,0.22519955564947688
341,341,341,341,341,341,341,341,341,1-0031,3,18,1-0031,13,0,0,4,2.9254279136657715,0.22503291643582857
348,348,348,348,348,348,348,348,348,1-17758,20,17,1-17758,40,9,0,0,9.0,0.225
