Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
255,255,255,255,255,255,255,1-3564,16,1-3564,3,41,3,0,9,7.729693651199341,0.18852911344388637
132,132,132,132,132,132,132,MLG55,20,MLG55,20,92,0,0,33,17.342210054397583,0.18850228319997372
311,311,311,311,311,311,311,1-8938,15,1-8938,4,30,3,0,5,5.627607583999634,0.18758691946665446
110,110,110,110,110,110,110,1-9137,13,1-9137,6,111,4,0,32,20.816688537597656,0.18753773457295186
111,111,111,111,111,111,111,1-0272,3,1-0272,8,111,5,0,30,20.765645503997803,0.18707788742340362
12,12,12,12,12,12,12,1-7024,2,1-7024,9,498,93,0,0,93.0,0.18674698795180722
319,319,319,319,319,319,319,1-18935,17,1-18935,2,30,4,0,3,5.57656455039978,0.185885485013326
357,357,357,357,357,357,357,1-9650,7,1-9650,16,25,2,0,5,4.627607583999634,0.18510430335998534
358,358,358,358,358,358,358,1-8627,12,1-8627,11,25,2,0,5,4.627607583999634,0.18510430335998534
283,283,283,283,283,283,283,1-6909,15,1-6909,4,36,5,0,3,6.57656455039978,0.1826823486222161
239,239,239,239,239,239,239,1-5002,1,1-5002,7,45,4,0,8,8.204172134399414,0.182314936319987
483,483,483,483,483,483,483,1-8578,18,1-8578,1,11,2,0,0,2.0,0.18181818181818182
384,384,384,384,384,384,384,1-0358,2,1-0358,9,22,4,0,0,4.0,0.18181818181818182
30,30,30,30,30,30,30,1-10785,9,1-10785,14,279,28,0,43,50.59742522239685,0.1813527785748991
35,35,35,35,35,35,35,1-7496,3,1-7496,8,246,12,0,62,44.58233404159546,0.18122900016908725
449,449,449,449,449,449,449,MLG43,15,MLG43,4,14,2,0,1,2.5255215167999268,0.1803943940571376
51,51,51,51,51,51,51,MLG65,15,MLG65,4,201,24,0,23,36.086994886398315,0.17953728799203142
148,148,148,148,148,148,148,1-0278,8,1-0278,15,79,12,0,4,14.102086067199707,0.1785074185721482
153,153,153,153,153,153,153,1-9516,18,1-9516,1,76,2,0,22,13.561473369598389,0.178440439073663
59,59,59,59,59,59,59,1-8573,14,1-8573,5,184,16,0,32,32.816688537597656,0.1783515681391177
1,1,1,1,1,1,1,1-9227,18,1-9227,1,801,30,0,213,141.9360830783844,0.17719860559099176
40,40,40,40,40,40,40,1-7807,3,1-7807,8,239,5,0,71,42.3120276927948,0.1770377727732
21,21,21,21,21,21,21,MLG02,5,MLG02,18,320,15,0,79,56.516199827194214,0.17661312445998192
199,199,199,199,199,199,199,1-20167,1,1-20167,4,56,2,0,15,9.882822751998901,0.1764789777142661
422,422,422,422,422,422,422,1-7536,2,1-7536,9,17,3,0,0,3.0,0.17647058823529413
79,79,79,79,79,79,79,1-0129,8,1-0129,15,142,14,0,21,25.035951852798462,0.17630952009013
53,53,53,53,53,53,53,1-8341,18,1-8341,1,197,10,0,47,34.69951128959656,0.17613965121622618
468,468,468,468,468,468,468,1-9946,20,1-9946,20,12,0,0,4,2.102086067199707,0.17517383893330893
312,312,312,312,312,312,312,1-1850,20,1-1850,20,30,0,0,10,5.255215167999268,0.17517383893330893
277,277,277,277,277,277,277,1-10060,20,1-10060,20,36,0,0,12,6.306258201599121,0.17517383893330893
474,474,474,474,474,474,474,1-18004,14,1-18004,5,12,0,0,4,2.102086067199707,0.17517383893330893
496,496,496,496,496,496,496,1-9076,20,1-9076,20,9,0,0,3,1.5765645503997803,0.17517383893330893
549,549,549,549,549,549,549,1-7599,13,1-7599,6,3,0,0,1,0.5255215167999268,0.17517383893330893
106,106,106,106,106,106,106,1-9963,9,1-9963,14,116,16,0,8,20.204172134399414,0.17417389771033978
373,373,373,373,373,373,373,1-8488,2,1-8488,9,23,4,0,0,4.0,0.17391304347826086
20,20,20,20,20,20,20,1-8067,13,1-8067,6,322,36,0,38,55.96981763839722,0.1738193094360162
300,300,300,300,300,300,300,1-18709,1,1-18709,3,33,1,0,9,5.729693651199341,0.17362708033937396
147,147,147,147,147,147,147,1-2423,11,1-2423,12,79,11,0,5,13.627607583999634,0.17250136182278017
477,477,477,477,477,477,477,1-8222,7,1-8222,16,12,1,0,2,2.0510430335998535,0.1709202527999878
176,176,176,176,176,176,176,1-6561,9,1-6561,14,65,9,0,4,11.102086067199707,0.17080132411076474
197,197,197,197,197,197,197,1-6006,18,1-6006,1,57,5,0,9,9.72969365119934,0.17069637984560246
28,28,28,28,28,28,28,1-7005,18,1-7005,1,285,3,0,85,47.669328927993774,0.1672608032561185
378,378,378,378,378,378,378,1-9518,24,1-9518,20,22,0,0,7,3.6786506175994873,0.1672113917090676
385,385,385,385,385,385,385,1-18615,20,1-18615,20,22,0,0,7,3.6786506175994873,0.1672113917090676
379,379,379,379,379,379,379,1-7182,12,1-7182,11,22,0,0,7,3.6786506175994873,0.1672113917090676
133,133,133,133,133,133,133,MLG53,8,MLG53,15,91,11,0,8,15.204172134399414,0.1670788146637298
440,440,440,440,440,440,440,1-2034,3,1-2034,8,16,0,0,5,2.627607583999634,0.1642254739999771
41,41,41,41,41,41,41,1-9283,12,1-9283,11,235,18,0,39,38.495339155197144,0.16380995385190275
406,406,406,406,406,406,406,1-3265,16,1-3265,3,19,1,0,4,3.102086067199707,0.163267687747353
260,260,260,260,260,260,260,1-4760,6,1-4760,17,40,6,0,1,6.525521516799927,0.16313803791999817
435,435,435,435,435,435,435,1-4494,11,1-4494,12,16,1,0,3,2.5765645503997803,0.16103528439998627
