,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
527,1-8352,1,23,1-8352,1,0,0,0,0.0,0.0
528,1-5654,20,24,1-5654,15,0,0,0,0.0,0.0
529,1-4361,1,23,1-4361,10,0,0,0,0.0,0.0
530,1-3216,4,21,1-3216,5,0,0,0,0.0,0.0
531,1-7453,5,19,1-7453,13,0,0,0,0.0,0.0
532,1-6931,1,23,1-6931,1,0,0,0,0.0,0.0
533,1-20791,11,6,1-20791,13,0,0,0,0.0,0.0
534,1-8938,6,20,1-8938,30,0,0,0,0.0,0.0
535,1-6971,1,23,1-6971,10,0,0,0,0.0,0.0
536,1-2153,2,22,1-2153,13,0,0,0,0.0,0.0
537,1-7536,5,19,1-7536,17,0,0,0,0.0,0.0
538,1-8906,20,24,1-8906,15,0,0,0,0.0,0.0
539,1-6028,4,21,1-6028,2,0,0,0,0.0,0.0
540,1-18498,2,22,1-18498,13,0,0,0,0.0,0.0
541,1-3178,1,23,1-3178,6,0,0,0,0.0,0.0
542,1-9076,12,5,1-9076,9,0,0,0,0.0,0.0
543,1-1935,15,1,1-1935,12,0,0,0,0.0,0.0
544,1-19813,4,21,1-19813,20,0,0,0,0.0,0.0
545,1-7599,5,19,1-7599,3,0,0,0,0.0,0.0
546,1-0001,17,4,1-0001,17,0,0,0,0.0,0.0
547,1-3646,12,5,1-3646,7,0,0,0,0.0,0.0
548,1-10444,13,8,1-10444,8,0,0,0,0.0,0.0
549,1-8020,1,23,1-8020,56,0,0,0,0.0,0.0
550,1-8379,2,22,1-8379,5,0,0,0,0.0,0.0
551,1-7525,4,21,1-7525,6,0,0,0,0.0,0.0
552,1-0022,13,8,1-0022,18,0,0,0,0.0,0.0
553,1-19568,18,15,1-19568,2,0,0,0,0.0,0.0
554,1-11330,20,24,1-11330,14,0,0,0,0.0,0.0
555,1-9643,14,13,1-9643,8,0,0,0,0.0,0.0
556,1-17645,1,23,1-17645,9,0,0,0,0.0,0.0
557,1-10978,1,23,1-10978,1,0,0,0,0.0,0.0
558,1-10948,1,23,1-10948,2,0,0,0,0.0,0.0
559,P-16454,13,16,P-16454,8,0,0,0,0.0,0.0
560,1-4088,11,1,1-4088,30,0,0,0,0.0,0.0
561,1-5990,1,1,1-5990,5,0,0,0,0.0,0.0
562,1-9034,12,12,1-9034,3,0,0,0,0.0,0.0
563,1-18203,1,24,1-18203,29,0,0,0,0.0,0.0
564,1-9838,12,18,1-9838,3,0,0,0,0.0,0.0
565,1-19927,12,5,1-19927,1,0,0,0,0.0,0.0
