Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
222,222,222,222,222,222,222,222,222,222,222,222,222,1-8705,18,21,1-8705,48,8,0,4,8.937874376773834,0.18620571618278822
468,468,468,468,468,468,468,468,468,468,468,468,468,1-9946,16,3,1-9946,12,2,0,1,2.2344685941934586,0.18620571618278822
244,244,244,244,244,244,244,244,244,244,244,244,244,1-19448,4,11,1-19448,45,6,0,10,8.344685941934586,0.18543746537632413
269,269,269,269,269,269,269,269,269,269,269,269,269,1-8551,14,8,1-8551,38,3,0,17,6.9859661012887955,0.1838412131918104
0,0,0,0,0,0,0,0,0,0,0,0,0,1-6098,6,13,1-6098,1327,209,0,149,243.93582053482533,0.183825034314111
507,507,507,507,507,507,507,507,507,507,507,507,507,1-9643,16,3,1-9643,8,1,0,2,1.4689371883869171,0.18361714854836464
286,286,286,286,286,286,286,286,286,286,286,286,286,1-1770,19,20,1-1770,35,5,0,6,6.406811565160751,0.1830517590045929
27,27,27,27,27,27,27,27,27,27,27,27,27,1-1608,15,7,1-1608,307,52,0,17,55.985966101288795,0.1823647104276508
63,63,63,63,63,63,63,63,63,63,63,63,63,1-3052,14,8,1-3052,166,15,0,65,30.240458622574806,0.1821714374853904
41,41,41,41,41,41,41,41,41,41,41,41,41,1-9283,3,10,1-9283,235,21,0,93,42.805579259991646,0.18215140110634742
177,177,177,177,177,177,177,177,177,177,177,177,177,1-9498,19,20,1-9498,64,10,0,7,11.64128015935421,0.18189500248990953
47,47,47,47,47,47,47,47,47,47,47,47,47,1-0303,1,6,1-0303,212,23,0,66,38.474927216768265,0.18148550573947295
123,123,123,123,123,123,123,123,123,123,123,123,123,1-11350,3,10,1-11350,100,7,0,47,18.020023927092552,0.18020023927092552
297,297,297,297,297,297,297,297,297,297,297,297,297,1-9630,21,18,1-9630,33,5,0,4,5.937874376773834,0.17993558717496466
429,429,429,429,429,429,429,429,429,429,429,429,429,1-9452,21,18,1-9452,16,1,0,8,2.8757487535476685,0.17973429709672928
371,371,371,371,371,371,371,371,371,371,371,371,371,1-6035,19,20,1-6035,23,2,0,9,4.110217347741127,0.17870510207570117
454,454,454,454,454,454,454,454,454,454,454,454,454,1-5913,9,16,1-5913,14,2,0,2,2.468937188386917,0.17635265631335123
513,513,513,513,513,513,513,513,513,513,513,513,513,1-5530,21,18,1-5530,7,1,0,1,1.2344685941934586,0.17635265631335123
414,414,414,414,414,414,414,414,414,414,414,414,414,MLG06,3,10,MLG06,18,2,0,5,3.172342970967293,0.1762412761648496
278,278,278,278,278,278,278,278,278,278,278,278,278,1-7845,2,5,1-7845,36,4,0,10,6.344685941934586,0.1762412761648496
7,7,7,7,7,7,7,7,7,7,7,7,7,MLG69,3,10,MLG69,576,30,0,305,101.51292122900486,0.17623771046702233
543,543,543,543,543,543,543,543,543,543,543,543,543,1-7608,9,16,1-7608,4,0,0,3,0.7034057825803757,0.17585144564509392
76,76,76,76,76,76,76,76,76,76,76,76,76,1-2335,20,19,1-2335,145,22,0,14,25.28256031870842,0.1743624849566098
392,392,392,392,392,392,392,392,392,392,392,392,392,MLG33,20,19,MLG33,20,3,0,2,3.468937188386917,0.17344685941934584
70,70,70,70,70,70,70,70,70,70,70,70,70,1-1224,20,19,1-1224,151,18,0,34,25.97193220257759,0.17199955101044762
372,372,372,372,372,372,372,372,372,372,372,372,372,1-9553,19,20,1-9553,23,3,0,4,3.9378743767738342,0.1712119294249493
114,114,114,114,114,114,114,114,114,114,114,114,114,1-7152,5,12,1-7152,109,17,0,7,18.64128015935421,0.1710209188931579
152,152,152,152,152,152,152,152,152,152,152,152,152,1-10038,2,5,1-10038,76,11,0,8,12.875748753547668,0.16941774675720617
130,130,130,130,130,130,130,130,130,130,130,130,130,1-3139,14,8,1-3139,93,8,0,32,15.502995014190674,0.16669887112032983
524,524,524,524,524,524,524,524,524,524,524,524,524,1-7525,13,9,1-7525,6,1,0,0,1.0,0.16666666666666666
326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,21,18,1-0027,29,2,0,12,4.813623130321503,0.16598700449384493
5,5,5,5,5,5,5,5,5,5,5,5,5,MLG57,16,3,MLG57,629,81,0,99,104.2123908251524,0.16567947666955865
224,224,224,224,224,224,224,224,224,224,224,224,224,1-9277,21,8,1-9277,48,3,0,21,7.92384047806263,0.16508000995963812
312,312,312,312,312,312,312,312,312,312,312,312,312,1-1850,4,11,1-1850,30,4,0,4,4.937874376773834,0.1645958125591278
165,165,165,165,165,165,165,165,165,165,165,165,165,MLG59,10,22,MLG59,71,10,0,7,11.64128015935421,0.16396169238527056
473,473,473,473,473,473,473,473,473,473,473,473,473,1-5161,3,10,1-5161,12,1,0,4,1.9378743767738342,0.16148953139781952
211,211,211,211,211,211,211,211,211,211,211,211,211,1-8042,1,6,1-8042,52,3,0,23,8.392777666449547,0.16139957050864512
93,93,93,93,93,93,93,93,93,93,93,93,93,MLG52,8,15,MLG52,125,19,0,5,20.172342970967293,0.16137874376773834
442,442,442,442,442,442,442,442,442,442,442,442,442,1-5803,17,11,1-5803,15,1,0,6,2.4068115651607513,0.16045410434405008
445,445,445,445,445,445,445,445,445,445,445,445,445,1-5654,17,4,1-5654,15,1,0,6,2.4068115651607513,0.16045410434405008
265,265,265,265,265,265,265,265,265,265,265,265,265,1-1204,21,18,1-1204,39,2,0,18,6.220434695482254,0.159498325525186
101,101,101,101,101,101,101,101,101,101,101,101,101,1-18371,20,19,1-18371,120,17,0,9,19.110217347741127,0.15925181123117607
426,426,426,426,426,426,426,426,426,426,426,426,426,1-3639,17,4,1-3639,17,2,0,3,2.7034057825803757,0.15902386956355152
420,420,420,420,420,420,420,420,420,420,420,420,420,1-8678,1,6,1-8678,17,2,0,3,2.7034057825803757,0.15902386956355152
550,550,550,550,550,550,550,550,550,550,550,550,550,1-3176,1,6,1-3176,3,0,0,2,0.4689371883869171,0.15631239612897238
218,218,218,218,218,218,218,218,218,218,218,218,218,1-9610,2,5,1-9610,49,6,0,7,7.64128015935421,0.1559444930480451
257,257,257,257,257,257,257,257,257,257,257,257,257,1-19286,12,2,1-19286,40,6,0,1,6.234468594193459,0.15586171485483646
28,28,28,28,28,28,28,28,28,28,28,28,28,1-7005,14,8,1-7005,285,30,0,60,44.06811565160751,0.15462496719862284
