Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
427,427,427,427,427,427,427,1-3104,8,1-3104,14,16,0,0,9,1.1565996408462524,0.07228747755289078
288,288,288,288,288,288,288,1-9761,23,1-9761,13,35,2,0,4,2.5140442848205566,0.07182983670915877
77,77,77,77,77,77,77,1-9674,12,1-9674,8,144,3,0,57,10.325131058692932,0.07170229901870091
70,70,70,70,70,70,70,1-1224,12,1-1224,8,151,4,0,53,10.811086773872375,0.07159660115147269
351,351,351,351,351,351,351,1-2324,5,1-2324,5,25,1,0,6,1.771066427230835,0.0708426570892334
127,127,127,127,127,127,127,1-5891,6,1-5891,4,96,5,0,14,6.799154996871948,0.07082453121741612
253,253,253,253,253,253,253,1-9578,14,1-9578,2,42,0,0,23,2.9557546377182007,0.07037511042186193
290,290,290,290,290,290,290,1-3509,14,1-3509,1,35,0,0,19,2.441710352897644,0.06976315293993268
274,274,274,274,274,274,274,1-7744,14,1-7744,1,37,0,0,20,2.570221424102783,0.06946544389466981
20,20,20,20,20,20,20,1-8067,12,1-8067,8,322,6,0,125,22.063883900642395,0.06852137857342358
331,331,331,331,331,331,331,1-5981,2,1-5981,18,28,1,0,7,1.8995774984359741,0.0678420535155705
283,283,283,283,283,283,283,1-6909,2,1-6909,16,36,0,0,19,2.441710352897644,0.06782528758049011
303,303,303,303,303,303,303,1-18714,7,1-18714,2,32,1,0,9,2.1565996408462524,0.06739373877644539
107,107,107,107,107,107,107,MLG37,20,MLG37,10,116,7,0,6,7.771066427230835,0.0669919519588865
355,355,355,355,355,355,355,1-4747,16,1-4747,21,25,0,0,13,1.670643925666809,0.06682575702667236
350,350,350,350,350,350,350,1-9609,14,1-9609,1,25,0,0,13,1.670643925666809,0.06682575702667236
25,25,25,25,25,25,25,1-18028,6,1-18028,4,309,5,0,121,20.54983961582184,0.06650433532628426
136,136,136,136,136,136,136,1-1769,12,1-1769,8,89,0,0,46,5.911509275436401,0.06642145253299328
82,82,82,82,82,82,82,1-8188,19,1-8188,3,140,8,0,10,9.285110712051392,0.06632221937179565
12,12,12,12,12,12,12,1-7024,1,1-7024,15,498,19,0,107,32.75068461894989,0.0657644269456825
338,338,338,338,338,338,338,1-3589,9,1-3589,12,27,1,0,6,1.771066427230835,0.06559505286040129
339,339,339,339,339,339,339,1-9850,8,1-9850,14,27,1,0,6,1.771066427230835,0.06559505286040129
289,289,289,289,289,289,289,1-5549,12,1-5549,10,35,1,0,10,2.2851107120513916,0.06528887748718262
115,115,115,115,115,115,115,1-8421,16,1-8421,21,109,0,0,55,7.068108916282654,0.06484503592919866
102,102,102,102,102,102,102,1-17907,24,1-17907,7,119,6,0,13,7.670643925666809,0.06445919265266226
244,244,244,244,244,244,244,1-19448,6,1-19448,4,45,2,0,7,2.899577498435974,0.06443505552079942
545,545,545,545,545,545,545,1-4926,10,1-4926,11,4,0,0,2,0.2570221424102783,0.06425553560256958
492,492,492,492,492,492,492,MLG73,14,MLG73,1,10,0,0,5,0.6425553560256958,0.06425553560256958
468,468,468,468,468,468,468,1-9946,16,1-9946,21,12,0,0,6,0.771066427230835,0.06425553560256958
285,285,285,285,285,285,285,1-9887,14,1-9887,1,36,0,0,18,2.313199281692505,0.06425553560256958
347,347,347,347,347,347,347,1-7204,4,1-7204,13,26,0,0,13,1.670643925666809,0.06425553560256958
518,518,518,518,518,518,518,1-4842,14,1-4842,1,6,0,0,3,0.3855332136154175,0.06425553560256958
539,539,539,539,539,539,539,1-21192,9,1-21192,12,4,0,0,2,0.2570221424102783,0.06425553560256958
