Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
7,7,7,7,7,7,7,7,7,7,7,7,7,MLG69,17,MLG69,13,576,89,0,140,111.0755136013031,0.19283943333559567
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,19,MLG58,12,71,13,0,4,13.630728960037231,0.1919820980286934
144,144,144,144,144,144,144,144,144,144,144,144,144,1-7058,13,1-7058,17,80,15,0,2,15.315364480018616,0.1914420560002327
38,38,38,38,38,38,38,38,38,38,38,38,38,1-4649,17,1-4649,13,244,37,0,58,46.145569920539856,0.18912118819893384
384,384,384,384,384,384,384,384,384,384,384,384,384,1-0358,2,1-0358,9,22,4,0,1,4.157682240009308,0.18898555636405945
52,52,52,52,52,52,52,52,52,52,52,52,52,1-7122,20,1-7122,10,197,5,0,204,37.167176961898804,0.1886658729030396
94,94,94,94,94,94,94,94,94,94,94,94,94,1-1005,3,1-1005,7,125,19,0,29,23.572784960269928,0.18858227968215943
27,27,27,27,27,27,27,27,27,27,27,27,27,1-1608,18,1-1608,11,307,49,0,55,57.67252320051193,0.1878583817606252
429,429,429,429,429,429,429,429,429,429,429,429,429,1-9452,4,1-9452,19,16,3,0,0,3.0,0.1875
174,174,174,174,174,174,174,174,174,174,174,174,174,MLG41,6,MLG41,19,66,10,0,15,12.365233600139618,0.18735202424453967
115,115,115,115,115,115,115,115,115,115,115,115,115,1-8421,16,1-8421,14,109,19,0,9,20.41914016008377,0.18733156110168597
235,235,235,235,235,235,235,235,235,235,235,235,235,1-1989,6,1-1989,19,46,7,0,10,8.576822400093079,0.18645266087158865
213,213,213,213,213,213,213,213,213,213,213,213,213,1-6227,13,1-6227,19,52,5,0,29,9.572784960269928,0.18409201846672937
286,286,286,286,286,286,286,286,286,286,286,286,286,1-1770,15,1-1770,11,35,5,0,9,6.419140160083771,0.18340400457382203
337,337,337,337,337,337,337,337,337,337,337,337,337,1-6532,5,1-6532,9,27,4,0,6,4.946093440055847,0.18318864592799433
358,358,358,358,358,358,358,358,358,358,358,358,358,1-8627,18,1-8627,11,25,3,0,10,4.576822400093079,0.18307289600372315
329,329,329,329,329,329,329,329,329,329,329,329,329,1-5980,7,1-5980,4,29,4,0,8,5.261457920074463,0.18142958345084353
373,373,373,373,373,373,373,373,373,373,373,373,373,1-8488,2,1-8488,9,23,4,0,1,4.157682240009308,0.18076879304388296
4,4,4,4,4,4,4,4,4,4,4,4,4,MLG68,13,MLG68,17,642,104,0,76,115.9838502407074,0.1806602028671455
401,401,401,401,401,401,401,401,401,401,401,401,401,1-8100,2,1-8100,9,19,2,0,9,3.4191401600837708,0.17995474526756688
256,256,256,256,256,256,256,256,256,256,256,256,256,1-0296,8,1-0296,3,41,5,0,15,7.365233600139618,0.17963984390584434
326,326,326,326,326,326,326,326,326,326,326,326,326,1-0027,3,1-0027,7,29,3,0,14,5.20755136013031,0.17957073655621758
176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,16,1-6561,14,65,10,0,10,11.576822400093079,0.17810496000143197
325,325,325,325,325,325,325,325,325,325,325,325,325,1-9338,15,1-9338,15,29,5,0,1,5.157682240009308,0.1778511117244589
71,71,71,71,71,71,71,71,71,71,71,71,71,1-4417,12,1-4417,18,151,21,0,37,26.83424288034439,0.1777102177506251
143,143,143,143,143,143,143,143,143,143,143,143,143,1-9286,18,1-9286,11,81,9,0,34,14.361196160316467,0.17729871802859837
161,161,161,161,161,161,161,161,161,161,161,161,161,1-8285,18,1-8285,11,72,10,0,17,12.680598080158234,0.17611941777997547
403,403,403,403,403,403,403,403,403,403,403,403,403,72-12171,13,72-12171,17,19,3,0,2,3.3153644800186157,0.17449286736940084
300,300,300,300,300,300,300,300,300,300,300,300,300,1-18709,3,1-18709,3,33,4,0,11,5.7345046401023865,0.1737728678818905
106,106,106,106,106,106,106,106,106,106,106,106,106,1-9963,16,1-9963,14,116,16,0,26,20.099738240242004,0.17327360551932763
214,214,214,214,214,214,214,214,214,214,214,214,214,1-8450,19,1-8450,12,52,9,0,0,9.0,0.17307692307692307
317,317,317,317,317,317,317,317,317,317,317,317,317,1-9504,6,1-9504,19,30,5,0,1,5.157682240009308,0.1719227413336436
163,163,163,163,163,163,163,163,163,163,163,163,163,1-6692,19,1-6692,12,71,11,0,5,11.78841120004654,0.16603396056403577
466,466,466,466,466,466,466,466,466,466,466,466,466,1-9416,2,1-9416,9,13,2,0,1,2.157682240009308,0.1659755569237929
512,512,512,512,512,512,512,512,512,512,512,512,512,1-5799,16,1-5799,14,7,1,0,1,1.1576822400093079,0.16538317714418685
331,331,331,331,331,331,331,331,331,331,331,331,331,1-5981,9,1-5981,2,28,4,0,4,4.6307289600372314,0.16538317714418685
30,30,30,30,30,30,30,30,30,30,30,30,30,1-10785,16,1-10785,14,279,28,0,114,45.975775361061096,0.16478772530846272
127,127,127,127,127,127,127,127,127,127,127,127,127,1-5891,13,1-5891,17,96,13,0,15,15.365233600139618,0.160054516668121
62,62,62,62,62,62,62,62,62,62,62,62,62,1-6878,12,1-6878,18,167,7,0,123,26.394915521144867,0.15805338635416089
260,260,260,260,260,260,260,260,260,260,260,260,260,1-4760,13,1-4760,17,40,6,0,2,6.315364480018616,0.1578841120004654
247,247,247,247,247,247,247,247,247,247,247,247,247,1-6734,4,1-6734,14,44,6,0,6,6.946093440055847,0.15786576000126926
304,304,304,304,304,304,304,304,304,304,304,304,304,1-1592,10,1-1592,1,32,3,0,13,5.049869120121002,0.15780841000378132
63,63,63,63,63,63,63,63,63,63,63,63,63,1-3052,10,1-3052,1,166,16,0,63,25.933981120586395,0.15622880193124333
75,75,75,75,75,75,75,75,75,75,75,75,75,1-2545,9,1-2545,2,145,19,0,23,22.62669152021408,0.15604614841526954
420,420,420,420,420,420,420,420,420,420,420,420,420,1-8678,8,1-8678,3,17,2,0,4,2.6307289600372314,0.15474876235513127
264,264,264,264,264,264,264,264,264,264,264,264,264,1-8928,17,1-8928,13,39,6,0,0,6.0,0.15384615384615385
295,295,295,295,295,295,295,295,295,295,295,295,295,1-1942,10,1-1942,1,34,3,0,14,5.20755136013031,0.1531632752979503
61,61,61,61,61,61,61,61,61,61,61,61,61,1-6927,6,1-6927,19,179,24,0,20,27.153644800186157,0.15169633966584445
357,357,357,357,357,357,357,357,357,357,357,357,357,1-9650,14,1-9650,16,25,3,0,5,3.7884112000465393,0.15153644800186158
371,371,371,371,371,371,371,371,371,371,371,371,371,1-6035,16,1-6035,14,23,3,0,3,3.4730467200279236,0.1510020313055619
383,383,383,383,383,383,383,383,383,383,383,383,383,1-3521,18,1-3521,11,22,0,0,21,3.311327040195465,0.15051486546343024
387,387,387,387,387,387,387,387,387,387,387,387,387,1-9436,7,1-9436,4,21,3,0,1,3.157682240009308,0.1503658209528242
151,151,151,151,151,151,151,151,151,151,151,151,151,MLG38,7,MLG38,4,77,10,0,10,11.576822400093079,0.15034834285835166
0,0,0,0,0,0,0,0,0,0,0,0,0,1-6098,3,1-6098,7,1327,147,0,331,199.1928214430809,0.15010762731204289
199,199,199,199,199,199,199,199,199,199,199,199,199,1-20167,7,1-20167,4,56,6,0,15,8.365233600139618,0.1493791714310646
319,319,319,319,319,319,319,319,319,319,319,319,319,1-18935,9,1-18935,2,30,4,0,3,4.473046720027924,0.1491015573342641
109,109,109,109,109,109,109,109,109,109,109,109,109,1-7441,16,1-7441,14,111,10,0,41,16.464971840381622,0.14833307964307768
41,41,41,41,41,41,41,41,41,41,41,41,41,1-9283,18,1-9283,11,235,19,0,100,34.768224000930786,0.14794988936566292
23,23,23,23,23,23,23,23,23,23,23,23,23,1-7866,8,1-7866,3,318,28,0,120,46.92186880111694,0.1475530465443929
14,14,14,14,14,14,14,14,14,14,14,14,14,1-1317,4,1-1317,6,414,53,0,49,60.726429760456085,0.14668219748902436
412,412,412,412,412,412,412,412,412,412,412,412,412,1-0055,14,1-0055,16,18,2,0,4,2.6307289600372314,0.1461516088909573
32,32,32,32,32,32,32,32,32,32,32,32,32,1-7874,6,1-7874,19,258,26,0,72,37.353121280670166,0.14477953984755879
503,503,503,503,503,503,503,503,503,503,503,503,503,1-5531,10,1-5531,1,8,1,0,1,1.1576822400093079,0.14471028000116348
315,315,315,315,315,315,315,315,315,315,315,315,315,1-9614,9,1-9614,2,30,4,0,2,4.315364480018616,0.1438454826672872
454,454,454,454,454,454,454,454,454,454,454,454,454,1-5913,7,1-5913,4,14,2,0,0,2.0,0.14285714285714285
449,449,449,449,449,449,449,449,449,449,449,449,449,MLG43,7,MLG43,4,14,2,0,0,2.0,0.14285714285714285
46,46,46,46,46,46,46,46,46,46,46,46,46,1-2282,7,1-2282,4,219,27,0,26,31.099738240242004,0.1420079371700548
