Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
266,266,266,266,266,266,266,266,266,266,266,1-2103,19,8,1-2103,26,3,0,5,4.704919636249542,0.18095844754805931
77,77,77,77,77,77,77,77,77,77,77,1-2153,11,6,1-2153,13,2,0,1,2.3409839272499084,0.18007568671153143
236,236,236,236,236,236,236,236,236,236,236,1-7024,18,3,1-7024,498,64,0,74,89.23281061649323,0.17918235063552856
452,452,452,452,452,452,452,452,452,452,452,1-8529,5,5,1-8529,56,10,0,0,10.0,0.17857142857142858
295,295,295,295,295,295,295,295,295,295,295,1-3639,5,5,1-3639,17,2,0,3,3.0229517817497253,0.1778206930441015
360,360,360,360,360,360,360,360,360,360,360,1-6611,13,15,1-6611,89,9,0,20,15.819678544998169,0.17774919713481088
338,338,338,338,338,338,338,338,338,338,338,1-6296,9,18,1-6296,254,18,0,79,44.93773025274277,0.17692019784544397
409,409,409,409,409,409,409,409,409,409,409,1-9645,19,8,1-9645,69,5,0,21,12.160662472248077,0.1762414851050446
44,44,44,44,44,44,44,44,44,44,44,1-5214,12,14,1-5214,40,6,0,3,7.022951781749725,0.17557379454374314
531,531,531,531,531,531,531,531,531,531,531,1-5891,8,16,1-5891,96,11,0,17,16.796726763248444,0.17496590378383794
505,505,505,505,505,505,505,505,505,505,505,1-4747,18,3,1-4747,25,3,0,4,4.363935708999634,0.17455742835998536
176,176,176,176,176,176,176,176,176,176,176,1-8042,2,9,1-8042,52,6,0,9,9.068855345249176,0.17440106433171493
369,369,369,369,369,369,369,369,369,369,369,1-6594,18,3,1-6594,70,3,0,27,12.206566035747528,0.17437951479639327
454,454,454,454,454,454,454,454,454,454,454,1-0272,2,9,1-0272,111,12,0,21,19.160662472248077,0.17261858083106377
64,64,64,64,64,64,64,64,64,64,64,1-9674,15,13,1-9674,144,6,0,55,24.754115998744965,0.1719035833246178
