,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
487,72-0103,18,24,72-0103,71,0,0,1,0.5678176879882812,0.007997432225187
488,1-7341,4,21,1-7341,110,0,0,1,0.5678176879882812,0.0051619789817116
489,1-0022,1,19,1-0022,18,0,0,0,0.0,0.0
490,MLG72,3,20,MLG72,9,0,0,0,0.0,0.0
491,1-20003,2,18,1-20003,21,0,0,0,0.0,0.0
492,1-9645,2,24,1-9645,69,0,0,0,0.0,0.0
493,1-4136,3,20,1-4136,5,0,0,0,0.0,0.0
494,1-20012,5,24,1-20012,12,0,0,0,0.0,0.0
495,1-6642,5,13,1-6642,36,0,0,0,0.0,0.0
496,1-8222,2,1,1-8222,12,0,0,0,0.0,0.0
497,1-19924,13,22,1-19924,1,0,0,0,0.0,0.0
498,1-7525,9,14,1-7525,6,0,0,0,0.0,0.0
499,1-21195,3,20,1-21195,1,0,0,0,0.0,0.0
500,1-9237,12,24,1-9237,38,0,0,0,0.0,0.0
501,1-3178,1,19,1-3178,6,0,0,0,0.0,0.0
502,1-8532,11,1,1-8532,4,0,0,0,0.0,0.0
503,1-5424,18,24,1-5424,5,0,0,0,0.0,0.0
504,1-1183,13,24,1-1183,45,0,0,0,0.0,0.0
505,1-10948,14,12,1-10948,2,0,0,0,0.0,0.0
506,1-10071,15,4,1-10071,30,0,0,0,0.0,0.0
507,1-10978,14,12,1-10978,1,0,0,0,0.0,0.0
508,1-5406,11,10,1-5406,10,0,0,0,0.0,0.0
509,1-19568,4,6,1-19568,2,0,0,0,0.0,0.0
510,1-8641,20,1,1-8641,30,0,0,0,0.0,0.0
511,1-17645,2,18,1-17645,9,0,0,0,0.0,0.0
512,1-9733,1,24,1-9733,4,0,0,0,0.0,0.0
513,1-8566,4,1,1-8566,5,0,0,0,0.0,0.0
514,1-9806,1,1,1-9806,8,0,0,0,0.0,0.0
515,1-19927,15,4,1-19927,1,0,0,0,0.0,0.0
516,1-8021,2,18,1-8021,58,0,0,0,0.0,0.0
517,1-9838,2,1,1-9838,3,0,0,0,0.0,0.0
518,1-19598,1,19,1-19598,11,0,0,0,0.0,0.0
519,1-2025,1,19,1-2025,41,0,0,0,0.0,0.0
520,1-3519,1,21,1-3519,27,0,0,0,0.0,0.0
521,1-20467,16,4,1-20467,13,0,0,0,0.0,0.0
522,1-10951,1,1,1-10951,1,0,0,0,0.0,0.0
523,1-8352,2,18,1-8352,1,0,0,0,0.0,0.0
524,1-3216,15,8,1-3216,5,0,0,0,0.0,0.0
525,1-7721,20,1,1-7721,20,0,0,0,0.0,0.0
526,1-7536,2,18,1-7536,17,0,0,0,0.0,0.0
527,1-3521,4,24,1-3521,22,0,0,0,0.0,0.0
528,1-4842,1,19,1-4842,6,0,0,0,0.0,0.0
529,1-8379,8,24,1-8379,5,0,0,0,0.0,0.0
530,1-10444,5,1,1-10444,8,0,0,0,0.0,0.0
531,72-11994,2,1,72-11994,8,0,0,0,0.0,0.0
532,1-7321,4,21,1-7321,7,0,0,0,0.0,0.0
533,1-19567,1,4,1-19567,2,0,0,0,0.0,0.0
534,1-8172,12,24,1-8172,40,0,0,0,0.0,0.0
535,1-8988,20,1,1-8988,29,0,0,0,0.0,0.0
536,1-9818,3,13,1-9818,28,0,0,0,0.0,0.0
537,1-10762,14,24,1-10762,6,0,0,0,0.0,0.0
538,1-10922,4,21,1-10922,1,0,0,0,0.0,0.0
539,1-5167,2,1,1-5167,24,0,0,0,0.0,0.0
