Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
132,132,132,1-9110,4,9,1-9110,29,3,0,10,4.705937087535858,0.16227369267365027
0,0,0,72-0103,7,15,72-0103,71,2,0,55,11.38265398144722,0.16031907016122846
539,539,539,1-9436,20,11,1-9436,21,2,0,8,3.3647496700286865,0.16022617476327078
210,210,210,1-7842,8,10,1-7842,21,3,0,2,3.3411874175071716,0.15910416273843675
144,144,144,1-7744,14,13,1-7744,37,4,0,11,5.876530796289444,0.15882515665647146
197,197,197,1-8646,5,5,1-8646,20,3,0,1,3.170593708753586,0.15852968543767929
145,145,145,MLG06,10,18,MLG06,18,2,0,5,2.852968543767929,0.1584982524315516
20,20,20,1-5167,4,9,1-5167,24,0,0,22,3.753061592578888,0.15637756635745367
76,76,76,1-8541,8,10,1-8541,232,26,0,60,36.23562252521515,0.15618802812592736
403,403,403,1-1770,9,20,1-1770,35,3,0,14,5.388311922550201,0.15395176921572004
321,321,321,1-5172,14,13,1-5172,120,13,0,31,18.28840497136116,0.152403374761343
542,542,542,1-1191,11,1,1-1191,53,8,0,0,8.0,0.1509433962264151
56,56,56,1-5877,5,5,1-5877,79,4,0,46,11.847310602664948,0.14996595699575882
485,485,485,1-5980,13,19,1-5980,29,4,0,2,4.341187417507172,0.1496961178450749
314,314,314,1-3139,7,15,1-3139,93,11,0,17,13.900093048810959,0.14946336611624686
487,487,487,1-6900,3,22,1-6900,67,10,0,0,10.0,0.14925373134328357
439,439,439,MLG72,4,9,MLG72,9,1,0,2,1.3411874175071716,0.1490208241674635
316,316,316,1-7441,10,18,1-7441,111,8,0,50,16.52968543767929,0.14891608502413775
401,401,401,1-7204,19,14,1-7204,26,3,0,5,3.852968543767929,0.14819109783722803
407,407,407,1-8421,10,18,1-8421,109,12,0,24,16.09424901008606,0.14765366064299137
24,24,24,1-7140,20,6,1-7140,397,55,0,21,58.5824678838253,0.14756289139502596
224,224,224,1-9227,7,15,1-9227,801,87,0,180,117.70686757564545,0.14694989709818407
142,142,142,P-16454,5,5,P-16454,8,1,0,1,1.1705937087535858,0.14632421359419823
315,315,315,1-1769,16,23,1-1769,89,13,0,0,13.0,0.14606741573033707
326,326,326,1-8826,7,15,1-8826,123,15,0,17,17.90009304881096,0.1455292117789509
340,340,340,1-3362,11,1,1-3362,117,17,0,0,17.0,0.1452991452991453
377,377,377,1-7213,17,11,1-7213,23,3,0,2,3.3411874175071716,0.14526901815248572
256,256,256,1-9277,7,15,1-9277,48,4,0,17,6.900093048810959,0.14375193851689497
187,187,187,1-7321,17,11,1-7321,7,1,0,0,1.0,0.14285714285714285
173,173,173,1-9588,8,10,1-9588,14,2,0,0,2.0,0.14285714285714285
328,328,328,1-9497,17,11,1-9497,150,17,0,25,21.264842718839645,0.14176561812559763
172,172,172,1-8573,5,5,1-8573,184,26,0,0,26.0,0.14130434782608695
64,64,64,1-9674,15,7,1-9674,144,14,0,36,20.14137351512909,0.13987064941061866
21,21,21,1-3519,15,7,1-3519,27,0,0,22,3.753061592578888,0.13900228120662547
417,417,417,1-10451,12,18,1-10451,46,6,0,2,6.341187417507172,0.1378519003805907
362,362,362,1-1462,7,15,1-1462,192,22,0,26,26.43543642759323,0.13768456472704807
410,410,410,MLG12,13,19,MLG12,146,6,0,82,19.988684117794037,0.13690879532735642
162,162,162,1-8067,15,7,1-8067,322,23,0,123,43.983026176691055,0.13659324899593495
101,101,101,1-9892,9,20,1-9892,22,3,0,0,3.0,0.13636363636363635
520,520,520,1-2034,14,22,1-2034,16,2,0,1,2.170593708753586,0.1356621067970991
80,80,80,1-9115,1,12,1-9115,16,2,0,1,2.170593708753586,0.1356621067970991
320,320,320,MLG13,7,15,MLG13,140,14,0,29,18.94721755385399,0.13533726824181422
13,13,13,1-9805,8,18,1-9805,26,3,0,3,3.5117811262607574,0.135068504856183
480,480,480,1-1005,17,11,1-1005,125,13,0,22,16.753061592578888,0.1340244927406311
505,505,505,1-4747,13,19,1-4747,25,3,0,2,3.3411874175071716,0.13364749670028686
290,290,290,1-8341,7,15,1-8341,197,21,0,31,26.28840497136116,0.13344368005767088
39,39,39,1-7467,3,22,1-7467,64,7,0,9,8.535343378782272,0.133364740293473
355,355,355,1-9498,10,18,1-9498,64,7,0,9,8.535343378782272,0.133364740293473
433,433,433,1-5654,6,23,1-5654,15,2,0,0,2.0,0.13333333333333333
414,414,414,1-8285,14,13,1-8285,72,6,0,21,9.582467883825302,0.13308983171979585
501,501,501,1-18487,10,18,1-18487,23,1,0,12,3.04712450504303,0.13248367413230563
98,98,98,1-8127,13,19,1-8127,32,4,0,1,4.170593708753586,0.13033105339854956
190,190,190,1-2382,16,23,1-2382,139,18,0,0,18.0,0.12949640287769784
