Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
98,98,98,98,98,98,98,98,98,98,98,98,1-5043,15,1-5043,21,123,16,0,14,20.41459161043167,0.16597228951570464
448,448,448,448,448,448,448,448,448,448,448,448,MLG42,12,MLG42,17,14,2,0,1,2.315327972173691,0.16538056944097793
97,97,97,97,97,97,97,97,97,97,97,97,1-1833,16,1-1833,20,124,6,0,46,20.505086719989777,0.1653636025805627
106,106,106,106,106,106,106,106,106,106,106,106,1-9963,15,1-9963,21,116,15,0,13,19.09926363825798,0.1646488244677412
434,434,434,434,434,434,434,434,434,434,434,434,1-4149,14,1-4149,15,16,2,0,2,2.6306559443473816,0.16441599652171135
440,440,440,440,440,440,440,440,440,440,440,440,1-2034,22,1-2034,19,16,2,0,2,2.6306559443473816,0.16441599652171135
32,32,32,32,32,32,32,32,32,32,32,32,1-7874,8,1-7874,14,258,10,0,102,42.16345316171646,0.16342423706091652
128,128,128,128,128,128,128,128,128,128,128,128,1-7897,12,1-7897,17,95,12,0,11,15.468607693910599,0.16282744940958524
386,386,386,386,386,386,386,386,386,386,386,386,1-4855,17,1-4855,12,22,2,0,5,3.576639860868454,0.16257453913038428
80,80,80,80,80,80,80,80,80,80,80,80,1-0053,6,1-0053,11,142,12,0,35,23.036479026079178,0.16222872553576886
87,87,87,87,87,87,87,87,87,87,87,87,1-3141,15,1-3141,21,136,15,0,22,21.937215387821198,0.1613030543222147
136,136,136,136,136,136,136,136,136,136,136,136,1-1769,3,1-1769,8,89,3,0,36,14.351806998252869,0.1612562584073356
433,433,433,433,433,433,433,433,433,433,433,433,1-20641,15,1-20641,21,16,1,0,5,2.576639860868454,0.16103999130427837
152,152,152,152,152,152,152,152,152,152,152,152,1-10038,16,1-10038,20,76,10,0,7,12.207295805215836,0.16062231322652415
133,133,133,133,133,133,133,133,133,133,133,133,MLG53,14,MLG53,15,91,12,0,8,14.522623777389526,0.1595892722790058
276,276,276,276,276,276,276,276,276,276,276,276,1-2573,13,1-2573,16,37,4,0,6,5.891967833042145,0.1592423738660039
552,552,552,552,552,552,552,552,552,552,552,552,1-19568,1,1-19568,1,2,0,0,1,0.3153279721736908,0.1576639860868454
201,201,201,201,201,201,201,201,201,201,201,201,1-8529,10,1-8529,19,56,0,0,28,8.829183220863342,0.1576639860868454
277,277,277,277,277,277,277,277,277,277,277,277,1-10060,3,1-10060,8,36,0,0,18,5.675903499126434,0.1576639860868454
58,58,58,58,58,58,58,58,58,58,58,58,MLG49,20,MLG49,3,185,14,0,48,29.135742664337158,0.15749050088830896
272,272,272,272,272,272,272,272,272,272,272,272,1-19229,21,1-19229,13,38,5,0,3,5.945983916521072,0.15647326096108086
304,304,304,304,304,304,304,304,304,304,304,304,1-1592,21,1-1592,13,32,5,0,0,5.0,0.15625
12,12,12,12,12,12,12,12,12,12,12,12,1-7024,14,1-7024,15,498,65,0,40,77.61311888694763,0.15584963631917195
351,351,351,351,351,351,351,351,351,351,351,351,1-2324,18,1-2324,5,25,2,0,6,3.8919678330421448,0.15567871332168579
51,51,51,51,51,51,51,51,51,51,51,51,MLG65,4,MLG65,9,201,18,0,42,31.243774831295013,0.15544166582733837
421,421,421,421,421,421,421,421,421,421,421,421,1-5282,12,1-5282,17,17,2,0,2,2.6306559443473816,0.15474446731455185
311,311,311,311,311,311,311,311,311,311,311,311,1-8938,22,1-8938,7,30,4,0,2,4.630655944347382,0.15435519814491272
38,38,38,38,38,38,38,38,38,38,38,38,1-4649,7,1-4649,12,244,30,0,24,37.56787133216858,0.15396668578757614
6,6,6,6,6,6,6,6,6,6,6,6,MLG54,7,MLG54,12,595,71,0,65,91.4963181912899,0.15377532469124353
191,191,191,191,191,191,191,191,191,191,191,191,MLG44,21,MLG44,13,59,7,0,6,8.891967833042145,0.15071131920410416
157,157,157,157,157,157,157,157,157,157,157,157,1-17733,3,1-17733,8,74,2,0,29,11.144511193037033,0.15060150260860855
53,53,53,53,53,53,53,53,53,53,53,53,1-8341,8,1-8341,14,197,11,0,59,29.604350358247757,0.15027589014338963
131,131,131,131,131,131,131,131,131,131,131,131,1-9925,22,1-9925,7,93,13,0,3,13.945983916521072,0.1499568163066782
467,467,467,467,467,467,467,467,467,467,467,467,1-0031,18,1-0031,4,13,1,0,3,1.9459839165210724,0.14969107050162095
61,61,61,61,61,61,61,61,61,61,61,61,1-6927,3,1-6927,8,179,5,0,69,26.757630079984665,0.14948396692728863
424,424,424,424,424,424,424,424,424,424,424,424,1-1177,22,1-1177,7,17,0,0,8,2.5226237773895264,0.14838963396408977
417,417,417,417,417,417,417,417,417,417,417,417,1-5425,3,1-5425,8,17,0,0,8,2.5226237773895264,0.14838963396408977
208,208,208,208,208,208,208,208,208,208,208,208,1-5355,19,1-5355,21,53,5,0,9,7.837951749563217,0.14788588206723052
122,122,122,122,122,122,122,122,122,122,122,122,1-9404,3,1-9404,8,100,5,0,31,14.775167137384415,0.14775167137384415
414,414,414,414,414,414,414,414,414,414,414,414,MLG06,16,MLG06,20,18,2,0,2,2.6306559443473816,0.14614755246374342
166,166,166,166,166,166,166,166,166,166,166,166,MLG58,21,MLG58,13,71,10,0,1,10.31532797217369,0.1452863094672351
435,435,435,435,435,435,435,435,435,435,435,435,1-4494,21,1-4494,12,16,2,0,1,2.315327972173691,0.14470799826085567
436,436,436,436,436,436,436,436,436,436,436,436,1-9115,9,1-9115,5,16,2,0,1,2.315327972173691,0.14470799826085567
65,65,65,65,65,65,65,65,65,65,65,65,1-4319,3,1-4319,8,163,8,0,49,23.45107063651085,0.14387159899699908
222,222,222,222,222,222,222,222,222,222,222,222,1-8705,14,1-8705,5,48,5,0,6,6.891967833042145,0.143582663188378
125,125,125,125,125,125,125,125,125,125,125,125,1-1390,16,1-1390,20,98,9,0,16,14.045247554779053,0.14331885259978625
150,150,150,150,150,150,150,150,150,150,150,150,1-3083,18,1-3083,4,78,8,0,10,11.153279721736908,0.1429907656632937
517,517,517,517,517,517,517,517,517,517,517,517,1-7321,9,1-7321,5,7,1,0,0,1.0,0.14285714285714285
270,270,270,270,270,270,270,270,270,270,270,270,1-9651,20,1-9651,3,38,1,0,14,5.414591610431671,0.1424892529060966
56,56,56,56,56,56,56,56,56,56,56,56,1-8427,20,1-8427,3,189,17,0,31,26.775167137384415,0.14166755099145192
86,86,86,86,86,86,86,86,86,86,86,86,1-8910,8,1-8910,14,137,9,0,33,19.405823081731796,0.14164834366227588
177,177,177,177,177,177,177,177,177,177,177,177,1-9498,16,1-9498,20,64,4,0,16,9.045247554779053,0.1413319930434227
266,266,266,266,266,266,266,266,266,266,266,266,1-9496,3,1-9496,8,39,2,0,11,5.468607693910599,0.14022071010027176
115,115,115,115,115,115,115,115,115,115,115,115,1-8421,15,1-8421,21,109,13,0,7,15.207295805215836,0.1395164752772095
243,243,243,243,243,243,243,243,243,243,243,243,1-19166,10,1-19166,19,45,5,0,4,6.261311888694763,0.13914026419321696
148,148,148,148,148,148,148,148,148,148,148,148,1-0278,10,1-0278,19,79,5,0,19,10.991231471300125,0.13912951229493828
458,458,458,458,458,458,458,458,458,458,458,458,1-9667,15,1-9667,21,14,1,0,3,1.9459839165210724,0.1389988511800766
216,216,216,216,216,216,216,216,216,216,216,216,1-8397,15,1-8397,21,51,2,0,16,7.045247554779053,0.13814210891723633
8,8,8,8,8,8,8,8,8,8,8,8,1-10468,3,1-10468,8,549,26,0,158,75.82181960344315,0.1381089610263081
260,260,260,260,260,260,260,260,260,260,260,260,1-4760,11,1-4760,18,40,3,0,8,5.522623777389526,0.13806559443473815
160,160,160,160,160,160,160,160,160,160,160,160,1-5197,3,1-5197,8,72,3,0,22,9.937215387821198,0.13801688038640553
37,37,37,37,37,37,37,37,37,37,37,37,1-5775,17,1-5775,6,244,23,0,33,33.405823081731796,0.13690911099070407
416,416,416,416,416,416,416,416,416,416,416,416,1-9907,15,1-9907,21,17,2,0,1,2.315327972173691,0.13619576306904063
403,403,403,403,403,403,403,403,403,403,403,403,72-12171,9,72-12171,14,19,1,0,5,2.576639860868454,0.1356126242562344
513,513,513,513,513,513,513,513,513,513,513,513,1-5530,21,1-5530,13,7,0,0,3,0.9459839165210724,0.13514055950301035
75,75,75,75,75,75,75,75,75,75,75,75,1-2545,11,1-2545,18,145,17,0,8,19.522623777389526,0.1346387846716519
139,139,139,139,139,139,139,139,139,139,139,139,MLG11,11,MLG11,18,87,6,0,18,11.675903499126434,0.13420578734628086
392,392,392,392,392,392,392,392,392,392,392,392,MLG33,16,MLG33,20,20,2,0,2,2.6306559443473816,0.13153279721736907
493,493,493,493,493,493,493,493,493,493,493,493,1-0033,7,1-0033,6,10,1,0,1,1.3153279721736908,0.13153279721736907
99,99,99,99,99,99,99,99,99,99,99,99,1-8826,8,1-8826,14,123,7,0,29,16.144511193037033,0.1312561885612767
154,154,154,154,154,154,154,154,154,154,154,154,1-9417,3,1-9417,8,76,3,0,22,9.937215387821198,0.1307528340502789
142,142,142,142,142,142,142,142,142,142,142,142,1-8084,6,1-8084,11,82,5,0,18,10.675903499126434,0.13019394511129798
89,89,89,89,89,89,89,89,89,89,89,89,1-9831,3,1-9831,8,132,8,0,29,17.144511193037033,0.12988266055331085
447,447,447,447,447,447,447,447,447,447,447,447,1-9971,20,1-9971,15,15,1,0,3,1.9459839165210724,0.12973226110140482
249,249,249,249,249,249,249,249,249,249,249,249,1-6916,16,1-6916,20,43,4,0,5,5.576639860868454,0.12968929908996404
199,199,199,199,199,199,199,199,199,199,199,199,1-20167,6,1-20167,11,56,5,0,7,7.207295805215836,0.12870171080742562
156,156,156,156,156,156,156,156,156,156,156,156,1-2294,3,1-2294,8,75,3,0,21,9.621887415647507,0.1282918322086334
