Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.2,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
435,435,435,435,435,435,435,1-9610,22,7,1-9610,49,8,0,17,11.744991391897202,0.23969370187545308
286,286,286,286,286,286,286,1-3587,1,10,1-3587,46,11,0,0,11.0,0.2391304347826087
247,247,247,247,247,247,247,1-20467,7,13,1-20467,13,2,0,5,3.1014680564403534,0.23857446588002718
379,379,379,379,379,379,379,1-4640,13,5,1-4640,87,16,0,21,20.626165837049484,0.23708236594309753
324,324,324,324,324,324,324,1-6734,20,19,1-6734,44,8,0,11,10.423229724168777,0.2368915846401995
90,90,90,90,90,90,90,1-19222,13,5,1-19222,15,2,0,7,3.5420552790164948,0.23613701860109965
450,450,450,450,450,450,450,1-2297,9,9,1-2297,25,5,0,4,5.881174445152283,0.2352469778060913
419,419,419,419,419,419,419,1-6692,22,7,1-6692,71,10,0,30,16.60880833864212,0.23392687800904394
77,77,77,77,77,77,77,1-2153,10,15,1-2153,13,3,0,0,3.0,0.23076923076923078
303,303,303,303,303,303,303,1-8157,22,7,1-8157,75,11,0,28,17.16822111606598,0.2289096148808797
330,330,330,330,330,330,330,1-4531,10,15,1-4531,94,16,0,24,21.287046670913696,0.2264579433075925
159,159,159,159,159,159,159,1-10696,4,3,1-10696,24,3,0,11,5.4232297241687775,0.22596790517369905
268,268,268,268,268,268,268,MLG44,16,18,MLG44,59,12,0,6,13.321761667728424,0.2257925706394648
240,240,240,240,240,240,240,MLG33,5,23,MLG33,20,4,0,2,4.440587222576141,0.22202936112880706
102,102,102,102,102,102,102,1-3564,1,10,1-3564,41,8,0,5,9.101468056440353,0.22198702576683788
473,473,473,473,473,473,473,1-9452,4,3,1-9452,16,2,0,7,3.5420552790164948,0.22137845493853092
437,437,437,437,437,437,437,1-6980,7,13,1-6980,128,3,0,114,28.113471686840057,0.21963649755343795
340,340,340,340,340,340,340,1-3362,13,5,1-3362,117,21,0,21,25.626165837049484,0.21902705843632037
68,68,68,68,68,68,68,1-7845,8,6,1-7845,36,7,0,4,7.881174445152283,0.2189215123653412
431,431,431,431,431,431,431,1-7614,4,3,1-7614,72,10,0,26,15.727633893489838,0.2184393596318033
154,154,154,154,154,154,154,1-18994,18,4,1-18994,28,5,0,5,6.101468056440353,0.21790957344429834
168,168,168,168,168,168,168,1-9655,11,14,1-9655,27,5,0,4,5.881174445152283,0.21782127574638085
222,222,222,222,222,222,222,1-4149,10,15,1-4149,16,3,0,2,3.4405872225761414,0.21503670141100883
536,536,536,536,536,536,536,1-9971,15,2,1-9971,15,3,0,1,3.2202936112880707,0.21468624075253803
173,173,173,173,173,173,173,1-9588,14,12,1-9588,14,3,0,0,3.0,0.21428571428571427
67,67,67,67,67,67,67,1-7481,10,15,1-7481,33,2,0,23,7.066753059625626,0.21414403210986743
184,184,184,184,184,184,184,1-8074,22,7,1-8074,145,24,0,31,30.82910194993019,0.21261449620641512
246,246,246,246,246,246,246,MLG56,14,12,MLG56,511,103,0,25,108.50734028220177,0.21234313166771382
206,206,206,206,206,206,206,1-9752,8,6,1-9752,22,4,0,3,4.660880833864212,0.21185821972110055
283,283,283,283,283,283,283,1-3535,22,7,1-3535,315,38,0,130,66.63816946744919,0.21154974434110854
43,43,43,43,43,43,43,1-8705,15,2,1-8705,48,9,0,5,10.101468056440353,0.2104472511758407
55,55,55,55,55,55,55,1-8095,21,16,1-8095,46,7,0,12,9.643523335456848,0.20964181164036627
335,335,335,335,335,335,335,1-8910,10,15,1-8910,137,2,0,121,28.655526965856552,0.20916443040771207
392,392,392,392,392,392,392,1-9609,6,1,1-9609,25,5,0,1,5.220293611288071,0.20881174445152284
84,84,84,84,84,84,84,1-18714,14,12,1-18714,32,6,0,3,6.660880833864212,0.20815252605825663
342,342,342,342,342,342,342,MLG65,16,18,MLG65,201,40,0,8,41.762348890304565,0.20777288005126648
186,186,186,186,186,186,186,72-11994,3,17,72-11994,8,1,0,3,1.660880833864212,0.2076101042330265
123,123,123,123,123,123,123,MLG55,7,13,MLG55,92,12,0,32,19.04939556121826,0.20705864740454633
320,320,320,320,320,320,320,MLG13,10,15,MLG13,140,22,0,31,28.82910194993019,0.20592215678521564
65,65,65,65,65,65,65,1-8659,4,3,1-8659,91,12,0,30,18.60880833864212,0.2044923993257376
387,387,387,387,387,387,387,1-10539,18,4,1-10539,63,12,0,4,12.881174445152283,0.20446308643098862
490,490,490,490,490,490,490,1-3551,4,3,1-3551,6,1,0,1,1.2202936112880707,0.20338226854801178
233,233,233,233,233,233,233,MLG07,10,15,MLG07,90,0,0,83,18.284369736909866,0.20315966374344296
356,356,356,356,356,356,356,1-9761,10,15,1-9761,35,6,0,5,7.101468056440353,0.20289908732686723
284,284,284,284,284,284,284,1-4136,16,18,1-4136,5,1,0,0,1.0,0.2
553,553,553,553,553,553,553,1-5555,18,4,1-5555,10,2,0,0,2.0,0.2
478,478,478,478,478,478,478,1-9394,22,7,1-9394,117,12,0,51,23.234974175691605,0.198589522869159
282,282,282,282,282,282,282,1-1608,18,4,1-1608,307,48,0,58,60.7770294547081,0.19797077998276255
137,137,137,137,137,137,137,1-1972,7,13,1-1972,32,5,0,6,6.321761667728424,0.19755505211651325
385,385,385,385,385,385,385,1-6974,4,3,1-6974,207,28,0,57,40.55673584342003,0.19592626011314024
474,474,474,474,474,474,474,1-8400,15,2,1-8400,33,2,0,20,6.405872225761414,0.1941173401745883
495,495,495,495,495,495,495,MLG08,3,17,MLG08,107,0,0,94,20.707599461078644,0.19352896692596863
162,162,162,162,162,162,162,1-8067,9,9,1-8067,322,53,0,41,62.0320380628109,0.19264608094040653
192,192,192,192,192,192,192,1-9770,22,7,1-9770,50,5,0,21,9.626165837049484,0.1925233167409897
329,329,329,329,329,329,329,1-1317,9,9,1-1317,414,45,0,157,79.5860969722271,0.19223694920827802
145,145,145,145,145,145,145,MLG06,13,5,MLG06,18,3,0,2,3.4405872225761414,0.1911437345875634
327,327,327,327,327,327,327,P-16616,1,10,P-16616,28,4,0,6,5.321761667728424,0.19006291670458658
514,514,514,514,514,514,514,1-11206,5,23,1-11206,14,2,0,3,2.660880833864212,0.19006291670458658
104,104,104,104,104,104,104,1-8267,13,5,1-8267,133,18,0,32,25.04939556121826,0.18834132000915987
208,208,208,208,208,208,208,1-10468,9,9,1-10468,549,65,0,174,103.3310883641243,0.18821691869603696
298,298,298,298,298,298,298,1-7019,15,2,1-7019,107,19,0,5,20.101468056440353,0.18786418744336777
218,218,218,218,218,218,218,1-9416,5,23,1-9416,13,2,0,2,2.4405872225761414,0.1877374786597032
21,21,21,21,21,21,21,1-3519,17,11,1-3519,27,0,0,23,5.066753059625626,0.18765752072687503
244,244,244,244,244,244,244,MLG57,7,13,MLG57,629,61,0,258,117.83575171232224,0.18733823801641056
488,488,488,488,488,488,488,1-11350,17,11,1-11350,100,13,0,26,18.727633893489838,0.18727633893489837
241,241,241,241,241,241,241,1-19448,5,23,1-19448,45,6,0,11,8.423229724168777,0.18718288275930617
296,296,296,296,296,296,296,1-9404,3,17,1-9404,100,10,0,39,18.591450840234756,0.18591450840234758
172,172,172,172,172,172,172,1-8573,9,9,1-8573,184,28,0,28,34.16822111606598,0.18569685389166293
189,189,189,189,189,189,189,1-9156,22,7,1-9156,268,27,0,103,49.69024196267128,0.18541135060698238
477,477,477,477,477,477,477,1-9055,3,17,1-9055,12,2,0,1,2.2202936112880707,0.18502446760733923
118,118,118,118,118,118,118,1-6543,8,6,1-6543,12,2,0,1,2.2202936112880707,0.18502446760733923
161,161,161,161,161,161,161,MLG41,16,18,MLG41,66,10,0,10,12.202936112880707,0.18489297140728345
442,442,442,442,442,442,442,MLG11,1,10,MLG11,87,11,0,23,16.066753059625626,0.18467532252443247
350,350,350,350,350,350,350,1-2282,7,13,1-2282,219,28,0,56,40.33644223213196,0.18418466772662995
447,447,447,447,447,447,447,1-7152,13,5,1-7152,109,13,0,32,20.04939556121826,0.18393940881851617
10,10,10,10,10,10,10,1-7964,11,14,1-7964,202,34,0,14,37.08411055803299,0.18358470573283658
193,193,193,193,193,193,193,1-9553,15,2,1-9553,23,4,0,1,4.220293611288071,0.18349102657774222
309,309,309,309,309,309,309,1-3516,13,5,1-3516,156,20,0,39,28.591450840234756,0.18327853102714586
250,250,250,250,250,250,250,1-9333,22,7,1-9333,102,9,0,44,18.69291889667511,0.18326391075171677
266,266,266,266,266,266,266,1-2103,17,11,1-2103,26,3,0,8,4.762348890304565,0.18316726501171404
190,190,190,190,190,190,190,1-2382,4,3,1-2382,139,15,0,47,25.353799730539322,0.18240143691035485
259,259,259,259,259,259,259,1-3596,4,3,1-3596,223,26,0,66,40.539378345012665,0.181790934282568
285,285,285,285,285,285,285,1-18615,4,3,1-18615,22,2,0,9,3.982642501592636,0.1810292046178471
169,169,169,169,169,169,169,1-9606,7,13,1-9606,16,2,0,4,2.8811744451522827,0.18007340282201767
248,248,248,248,248,248,248,1-2400,13,5,1-2400,49,7,0,8,8.762348890304565,0.1788234467409095
459,459,459,459,459,459,459,1-2545,21,16,1-2545,145,14,0,54,25.895855009555817,0.17859210351417804
94,94,94,94,94,94,94,1-3083,1,10,1-3083,78,13,0,4,13.881174445152283,0.1779637749378498
354,354,354,354,354,354,354,1-9417,9,9,1-9417,76,10,0,16,13.52469778060913,0.17795654974485697
337,337,337,337,337,337,337,1-18613,11,14,1-18613,25,4,0,2,4.440587222576141,0.17762348890304566
365,365,365,365,365,365,365,MLG48,4,3,MLG48,159,18,0,45,27.91321250796318,0.17555479564756718
487,487,487,487,487,487,487,1-6900,4,3,1-6900,67,8,0,17,11.744991391897202,0.1752983789835403
3,3,3,3,3,3,3,1-8222,6,1,1-8222,12,1,0,5,2.1014680564403534,0.1751223380366961
128,128,128,128,128,128,128,1-19286,21,16,1-19286,40,5,0,9,6.982642501592636,0.1745660625398159
516,516,516,516,516,516,516,1-5036,6,1,1-5036,14,2,0,2,2.4405872225761414,0.17432765875543868
544,544,544,544,544,544,544,1-5799,1,10,1-5799,7,1,0,1,1.2202936112880707,0.17432765875543868
62,62,62,62,62,62,62,1-9818,10,15,1-9818,28,2,0,13,4.863816946744919,0.17370774809803283
300,300,300,300,300,300,300,1-4020,22,7,1-4020,37,4,0,11,6.4232297241687775,0.1736008033559129
498,498,498,498,498,498,498,1-19915,3,17,1-19915,62,7,0,17,10.744991391897202,0.1733063127725355
393,393,393,393,393,393,393,1-7819,1,10,1-7819,59,9,0,5,10.101468056440353,0.17121132299051448
349,349,349,349,349,349,349,1-3052,10,15,1-3052,166,22,0,29,28.38851472735405,0.17101514895996414
242,242,242,242,242,242,242,1-20791,11,14,1-20791,13,2,0,1,2.2202936112880707,0.17079181625292852
170,170,170,170,170,170,170,1-5043,20,19,1-5043,123,8,0,58,20.7770294547081,0.16891893865616342
533,533,533,533,533,533,533,1-7530,8,6,1-7530,25,4,0,1,4.220293611288071,0.16881174445152283
103,103,103,103,103,103,103,1-8820,9,9,1-8820,83,11,0,13,13.863816946744919,0.16703393911740866
74,74,74,74,74,74,74,1-8124,2,24,1-8124,18,3,0,0,3.0,0.16666666666666666
549,549,549,549,549,549,549,1-4842,15,2,1-4842,6,1,0,0,1.0,0.16666666666666666
80,80,80,80,80,80,80,1-9115,3,17,1-9115,16,2,0,3,2.660880833864212,0.16630505211651325
366,366,366,366,366,366,366,1-5163,7,13,1-5163,16,2,0,3,2.660880833864212,0.16630505211651325
520,520,520,520,520,520,520,1-2034,6,1,1-2034,16,2,0,3,2.660880833864212,0.16630505211651325
140,140,140,140,140,140,140,1-2294,9,9,1-2294,75,11,0,6,12.321761667728424,0.16429015556971233
182,182,182,182,182,182,182,1-7752,4,3,1-7752,29,1,0,17,4.7449913918972015,0.16362039282404142
507,507,507,507,507,507,507,1-6909,11,14,1-6909,36,5,0,4,5.881174445152283,0.16336595680978563
58,58,58,58,58,58,58,1-17733,9,9,1-17733,74,9,0,13,11.863816946744919,0.16032185063168808
406,406,406,406,406,406,406,1-17907,13,5,1-17907,119,12,0,32,19.04939556121826,0.1600789542959518
503,503,503,503,503,503,503,1-9076,17,11,1-9076,9,1,0,2,1.4405872225761414,0.16006524695290458
2,2,2,2,2,2,2,MLG17,13,5,MLG17,153,24,0,2,24.44058722257614,0.15974240014755647
314,314,314,314,314,314,314,1-3139,10,15,1-3139,93,10,0,22,14.846459448337555,0.15963934890685544
299,299,299,299,299,299,299,MLG54,11,14,MLG54,595,76,0,86,94.94525057077408,0.15957184969877997
482,482,482,482,482,482,482,1-4390,10,15,1-4390,45,6,0,5,7.101468056440353,0.15781040125423007
361,361,361,361,361,361,361,1-0008,18,4,1-0008,230,29,0,33,36.26968917250633,0.15769430075002752
371,371,371,371,371,371,371,1-1580,17,11,1-1580,400,38,0,113,62.89317807555199,0.15723294518887998
432,432,432,432,432,432,432,1-6914,10,15,1-6914,73,2,0,43,11.47262528538704,0.15715925048475396
114,114,114,114,114,114,114,1-7496,8,6,1-7496,246,30,0,38,38.371157228946686,0.15598031393880765
50,50,50,50,50,50,50,1-8174,9,9,1-8174,45,7,0,0,7.0,0.15555555555555556
347,347,347,347,347,347,347,1-8188,3,17,1-8188,140,14,0,35,21.710276395082474,0.15507340282201768
483,483,483,483,483,483,483,1-9491,5,23,1-9491,80,8,0,20,12.405872225761414,0.15507340282201768
4,4,4,4,4,4,4,1-6240,18,4,1-6240,698,98,0,46,108.13350611925125,0.15491906320809634
258,258,258,258,258,258,258,1-9516,10,15,1-9516,76,10,0,8,11.762348890304565,0.15476774855663902
215,215,215,215,215,215,215,1-19839,16,18,1-19839,13,2,0,0,2.0,0.15384615384615385
95,95,95,95,95,95,95,1-3312,9,9,1-3312,36,2,0,16,5.524697780609131,0.15346382723914254
210,210,210,210,210,210,210,1-7842,4,3,1-7842,21,3,0,1,3.2202936112880707,0.15334731482324146
12,12,12,12,12,12,12,MLG84,3,17,MLG84,63,7,0,12,9.643523335456848,0.15307179897550552
405,405,405,405,405,405,405,1-3104,5,23,1-3104,16,2,0,2,2.4405872225761414,0.15253670141100883
180,180,180,180,180,180,180,1-0037,17,11,1-0037,35,4,0,6,5.321761667728424,0.15205033336366927
534,534,534,534,534,534,534,1-9457,3,17,1-9457,11,1,0,3,1.660880833864212,0.15098916671492837
