Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,exam,slot,Exam Group,Exam Block,size,b2bs,confs,2i3s,score,score_norm
45,45,45,45,45,45,45,45,45,45,45,45,45,1-3596,19,1-3596,20,223,33,0,35,51.71836692094803,0.23192092789662794
61,61,61,61,61,61,61,61,61,61,61,61,61,1-6927,3,1-6927,8,179,4,0,70,41.43673384189606,0.23149013319495004
163,163,163,163,163,163,163,163,163,163,163,163,163,1-6692,12,1-6692,17,71,10,0,12,16.417725801467896,0.2312355746685619
5,5,5,5,5,5,5,5,5,5,5,5,5,MLG57,16,MLG57,4,629,47,0,184,145.40512895584106,0.23116872647987452
176,176,176,176,176,176,176,176,176,176,176,176,176,1-6561,18,1-6561,21,65,7,0,15,15.02215725183487,0.23111011156669028
9,9,9,9,9,9,9,9,9,9,9,9,9,1-3523,11,1-3523,18,543,81,0,83,125.38927012681961,0.23091946616357203
83,83,83,83,83,83,83,83,83,83,83,83,83,MLG13,8,MLG13,14,140,12,0,38,32.322798371315,0.2308771312236786
466,466,466,466,466,466,466,466,466,466,466,466,466,1-9416,22,1-9416,7,13,3,0,0,3.0,0.23076923076923078
236,236,236,236,236,236,236,236,236,236,236,236,236,1-9794,12,1-9794,17,46,9,0,3,10.604431450366974,0.23053111848623856
392,392,392,392,392,392,392,392,392,392,392,392,392,MLG33,19,MLG33,20,20,3,0,3,4.604431450366974,0.23022157251834868
357,357,357,357,357,357,357,357,357,357,357,357,357,1-9650,3,1-9650,8,25,2,0,7,5.743673384189606,0.22974693536758423
511,511,511,511,511,511,511,511,511,511,511,511,511,1-3033,16,1-3033,4,7,0,0,3,1.6044314503669739,0.2292044929095677
74,74,74,74,74,74,74,74,74,74,74,74,74,1-8074,4,1-8074,9,145,22,0,21,33.23102015256882,0.2291794493280608
24,24,24,24,24,24,24,24,24,24,24,24,24,1-3535,13,1-3535,16,315,33,0,73,72.04116529226303,0.22870211203893026
287,287,287,287,287,287,287,287,287,287,287,287,287,1-2596,17,1-2596,2,35,8,0,0,8.0,0.22857142857142856
278,278,278,278,278,278,278,278,278,278,278,278,278,1-7845,15,1-7845,3,36,5,0,6,8.208862900733948,0.2280239694648319
132,132,132,132,132,132,132,132,132,132,132,132,132,MLG55,19,MLG55,20,92,14,0,13,20.952536284923553,0.22774495961873428
194,194,194,194,194,194,194,194,194,194,194,194,194,1-8018,21,1-8018,13,58,10,0,6,13.208862900733948,0.22773901552989564
146,146,146,146,146,146,146,146,146,146,146,146,146,MLG78,10,MLG78,19,80,8,0,19,18.1613991856575,0.22701748982071876
153,153,153,153,153,153,153,153,153,153,153,153,153,1-9516,8,1-9516,14,76,6,0,21,17.231020152568817,0.22672394937590548
439,439,439,439,439,439,439,439,439,439,439,439,439,1-4682,18,1-4682,21,16,2,0,3,3.604431450366974,0.22527696564793587
216,216,216,216,216,216,216,216,216,216,216,216,216,1-8397,5,1-8397,21,51,4,0,14,11.487346768379211,0.2252420934976316
112,112,112,112,112,112,112,112,112,112,112,112,112,1-3447,7,1-3447,12,110,13,0,22,24.765830636024475,0.22514391487294977
80,80,80,80,80,80,80,80,80,80,80,80,80,1-0053,6,1-0053,11,142,13,0,35,31.71836692094803,0.22336878113343683
39,39,39,39,39,39,39,39,39,39,39,39,39,1-9768,10,1-9768,19,241,32,0,40,53.39241933822632,0.2215453084573706
351,351,351,351,351,351,351,351,351,351,351,351,351,1-2324,14,1-2324,5,25,5,0,1,5.534810483455658,0.22139241933822632
223,223,223,223,223,223,223,223,223,223,223,223,223,1-6228,18,1-6228,21,48,1,0,18,10.626588702201843,0.22138726462920508
122,122,122,122,122,122,122,122,122,122,122,122,122,1-9404,3,1-9404,8,100,5,0,32,22.113935470581055,0.22113935470581056
303,303,303,303,303,303,303,303,303,303,303,303,303,1-18714,17,1-18714,2,32,6,0,2,7.069620966911316,0.22092565521597862
371,371,371,371,371,371,371,371,371,371,371,371,371,1-6035,18,1-6035,21,23,4,0,2,5.069620966911316,0.22041830290918765
134,134,134,134,134,134,134,134,134,134,134,134,134,1-8659,7,1-8659,12,91,13,0,13,19.952536284923553,0.21925864049366542
218,218,218,218,218,218,218,218,218,218,218,218,218,1-9610,19,1-9610,20,49,7,0,7,10.743673384189606,0.21925864049366542
36,36,36,36,36,36,36,36,36,36,36,36,36,MLG64,21,MLG64,13,245,43,0,20,53.69620966911316,0.21916820273107412
251,251,251,251,251,251,251,251,251,251,251,251,251,1-6919,15,1-6919,3,43,5,0,8,9.278483867645264,0.21577869459640148
58,58,58,58,58,58,58,58,58,58,58,58,58,MLG49,15,MLG49,3,185,21,0,35,39.71836692094803,0.21469387524836772
451,451,451,451,451,451,451,451,451,451,451,451,451,1-11329,7,1-11329,5,14,3,0,0,3.0,0.21428571428571427
529,529,529,529,529,529,529,529,529,529,529,529,529,1-5424,8,1-5424,14,5,0,0,2,1.069620966911316,0.21392419338226318
491,491,491,491,491,491,491,491,491,491,491,491,491,1-5555,3,1-5555,8,10,0,0,4,2.139241933822632,0.21392419338226318
183,183,183,183,183,183,183,183,183,183,183,183,183,1-19915,18,1-19915,21,62,10,0,6,13.208862900733948,0.21304617581828947
346,346,346,346,346,346,346,346,346,346,346,346,346,1-9805,19,1-9805,20,26,5,0,1,5.534810483455658,0.21287732628675607
160,160,160,160,160,160,160,160,160,160,160,160,160,1-5197,3,1-5197,8,72,3,0,23,15.300641119480133,0.21250890443722406
26,26,26,26,26,26,26,26,26,26,26,26,26,1-18558,11,1-18558,18,307,44,0,39,64.85760885477066,0.21126256955951356
468,468,468,468,468,468,468,468,468,468,468,468,468,1-9946,18,1-9946,21,12,2,0,1,2.534810483455658,0.21123420695463815
474,474,474,474,474,474,474,474,474,474,474,474,474,1-18004,6,1-18004,11,12,2,0,1,2.534810483455658,0.21123420695463815
471,471,471,471,471,471,471,471,471,471,471,471,471,1-19205,18,1-19205,21,12,2,0,1,2.534810483455658,0.21123420695463815
53,53,53,53,53,53,53,53,53,53,53,53,53,1-8341,8,1-8341,14,197,10,0,59,41.55381852388382,0.21093308895372498
65,65,65,65,65,65,65,65,65,65,65,65,65,1-4319,3,1-4319,8,163,7,0,51,34.275334656238556,0.21027812672538992
166,166,166,166,166,166,166,166,166,166,166,166,166,MLG58,21,MLG58,13,71,9,0,11,14.882915318012238,0.20961852560580616
276,276,276,276,276,276,276,276,276,276,276,276,276,1-2573,13,1-2573,16,37,4,0,7,7.743673384189606,0.20928846984296232
411,411,411,411,411,411,411,411,411,411,411,411,411,1-8124,3,1-8124,8,18,0,0,7,3.7436733841896057,0.20798185467720032
420,420,420,420,420,420,420,420,420,420,420,420,420,1-8678,13,1-8678,6,17,3,0,1,3.534810483455658,0.20793002843856812
397,397,397,397,397,397,397,397,397,397,397,397,397,1-9839,18,1-9839,21,20,2,0,4,4.139241933822632,0.20696209669113158
8,8,8,8,8,8,8,8,8,8,8,8,8,1-10468,3,1-10468,8,549,25,0,165,113.24372977018356,0.20627273182182798
127,127,127,127,127,127,127,127,127,127,127,127,127,1-5891,16,1-5891,4,96,8,0,22,19.765830636024475,0.20589406912525496
463,463,463,463,463,463,463,463,463,463,463,463,463,1-20467,6,1-20467,11,13,0,0,5,2.67405241727829,0.20569633979063767
445,445,445,445,445,445,445,445,445,445,445,445,445,1-5654,5,1-5654,4,15,2,0,2,3.069620966911316,0.20464139779408771
266,266,266,266,266,266,266,266,266,266,266,266,266,1-9496,3,1-9496,8,39,2,0,11,7.8829153180122375,0.20212603379518557
51,51,51,51,51,51,51,51,51,51,51,51,51,MLG65,4,MLG65,9,201,18,0,42,40.462040305137634,0.2013036831101375
14,14,14,14,14,14,14,14,14,14,14,14,14,1-1317,3,1-1317,8,414,17,0,124,83.31649994850159,0.2012475844166705
161,161,161,161,161,161,161,161,161,161,161,161,161,1-8285,5,1-8285,10,72,7,0,14,14.487346768379211,0.20121314956082237
414,414,414,414,414,414,414,414,414,414,414,414,414,MLG06,19,MLG06,20,18,2,0,3,3.604431450366974,0.2002461916870541
531,531,531,531,531,531,531,531,531,531,531,531,531,1-4051,21,1-4051,13,5,1,0,0,1.0,0.2
179,179,179,179,179,179,179,179,179,179,179,179,179,1-7467,21,1-7467,13,64,9,0,7,12.743673384189606,0.1991198966279626
275,275,275,275,275,275,275,275,275,275,275,275,275,1-4020,16,1-4020,4,37,2,0,10,7.34810483455658,0.19859742796098864
156,156,156,156,156,156,156,156,156,156,156,156,156,1-2294,3,1-2294,8,75,3,0,22,14.765830636024475,0.19687774181365966
95,95,95,95,95,95,95,95,95,95,95,95,95,1-5626,18,1-5626,21,125,8,0,31,24.579124987125397,0.19663299989700317
309,309,309,309,309,309,309,309,309,309,309,309,309,1-9185,9,1-9185,5,31,5,0,2,6.069620966911316,0.1957942247390747
101,101,101,101,101,101,101,101,101,101,101,101,101,1-18371,12,1-18371,17,120,16,0,14,23.48734676837921,0.19572788973649344
37,37,37,37,37,37,37,37,37,37,37,37,37,1-5775,20,1-5775,6,244,21,0,50,47.7405241727829,0.19565788595402828
462,462,462,462,462,462,462,462,462,462,462,462,462,1-4052,19,1-4052,20,13,2,0,1,2.534810483455658,0.19498542180428138
154,154,154,154,154,154,154,154,154,154,154,154,154,1-9417,3,1-9417,8,76,3,0,22,14.765830636024475,0.19428724521084836
403,403,403,403,403,403,403,403,403,403,403,403,403,72-12171,9,72-12171,14,19,1,0,5,3.67405241727829,0.1933711798567521
