Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
361,361,361,1-0008,4,7,1-0008,230,19,0,46,62.886982917785645,0.2734216648599376
338,338,338,1-6296,5,20,1-6296,254,14,0,58,69.33576107025146,0.27297543728445456
350,350,350,1-2282,16,22,1-2282,219,13,0,49,59.7491774559021,0.2728272943191877
136,136,136,1-9549,5,20,1-9549,18,2,0,3,4.862194538116455,0.2701219187842475
68,68,68,1-7845,19,11,1-7845,36,3,0,7,9.678453922271729,0.26884594228532577
385,385,385,1-6974,16,22,1-6974,207,4,0,54,55.51950168609619,0.26821015307292845
543,543,543,1-5803,13,23,1-5803,15,4,0,0,4.0,0.26666666666666666
207,207,207,1-7058,4,7,1-7058,80,5,0,17,21.219102382659912,0.2652387797832489
219,219,219,1-5653,1,11,1-5653,11,1,0,2,2.9081296920776367,0.26437542655251245
188,188,188,1-20167,17,9,1-20167,56,5,0,10,14.540648460388184,0.25965443679264616
479,479,479,1-9286,6,2,1-9286,81,21,0,0,21.0,0.25925925925925924
461,461,461,1-9651,2,6,1-9651,38,6,0,4,9.816259384155273,0.25832261537250717
273,273,273,1-3589,7,14,1-3589,27,6,0,1,6.954064846038818,0.25755795726069697
91,91,91,72-12171,19,13,72-12171,19,2,0,3,4.862194538116455,0.25590497569033976
489,489,489,1-9578,5,20,1-9578,42,3,0,8,10.632518768310547,0.25315520876929876
377,377,377,1-7213,17,9,1-7213,23,2,0,4,5.816259384155273,0.25288084278935974
164,164,164,1-9740,16,22,1-9740,34,0,0,9,8.586583614349365,0.2525465768926284
282,282,282,1-1608,20,19,1-1608,307,45,0,34,77.43820476531982,0.2522417093332893
162,162,162,1-8067,15,5,1-8067,322,13,0,71,80.7386040687561,0.2507410064247084
280,280,280,1-7608,6,2,1-7608,4,1,0,0,1.0,0.25
506,506,506,1-6227,4,15,1-6227,52,13,0,0,13.0,0.25
15,15,15,1-8093,6,2,1-8093,4,1,0,0,1.0,0.25
110,110,110,72-18936,2,6,72-18936,20,5,0,0,5.0,0.25
519,519,519,1-4926,3,23,1-4926,4,1,0,0,1.0,0.25
356,356,356,1-9761,7,14,1-9761,35,2,0,7,8.678453922271729,0.24795582635062083
288,288,288,1-8590,9,12,1-8590,24,4,0,2,5.908129692077637,0.24617207050323486
190,190,190,1-2382,16,22,1-2382,139,16,0,19,34.12723207473755,0.2455196552139392
196,196,196,1-9646,8,8,1-9646,105,0,0,27,25.759750843048096,0.24533096040998187
426,426,426,1-4355,6,2,1-4355,49,12,0,0,12.0,0.24489795918367346
238,238,238,1-9855,5,20,1-9855,8,1,0,1,1.9540648460388184,0.2442581057548523
316,316,316,1-7441,10,17,1-7441,111,8,0,20,27.081296920776367,0.24397564793492224
256,256,256,1-9277,7,14,1-9277,48,5,0,7,11.678453922271729,0.243301123380661
98,98,98,1-8127,13,18,1-8127,32,3,0,5,7.770324230194092,0.24282263219356537
413,413,413,1-8314,1,17,1-8314,36,3,0,6,8.72438907623291,0.24234414100646973
89,89,89,1-18004,8,8,1-18004,12,1,0,2,2.9081296920776367,0.24234414100646973
176,176,176,1-8042,1,11,1-8042,52,4,0,9,12.586583614349365,0.24204968489133394
368,368,368,1-5197,15,5,1-5197,72,4,0,14,17.356907844543457,0.241068164507548
407,407,407,1-8421,10,17,1-8421,109,11,0,16,26.265037536621094,0.24096364712496415
119,119,119,1-5929,1,11,1-5929,4,0,0,1,0.9540648460388184,0.2385162115097046
3,3,3,1-8222,5,20,1-8222,12,0,0,3,2.862194538116455,0.2385162115097046
127,127,127,1-9643,15,5,1-9643,8,0,0,2,1.9081296920776367,0.2385162115097046
404,404,404,1-4682,16,22,1-4682,16,0,0,4,3.8162593841552734,0.2385162115097046
269,269,269,1-7839,16,22,1-7839,24,0,0,6,5.72438907623291,0.2385162115097046
326,326,326,1-8826,7,14,1-8826,123,15,0,15,29.310972690582275,0.2383005909803437
102,102,102,1-3564,8,8,1-3564,41,5,0,5,9.770324230194092,0.2383005909803437
54,54,54,1-8125,14,10,1-8125,21,5,0,0,5.0,0.23809523809523808
393,393,393,1-7819,2,6,1-7819,59,12,0,2,13.908129692077637,0.23573101173012945
362,362,362,1-1462,7,14,1-1462,192,24,0,22,44.989426612854004,0.23431993027528128
480,480,480,1-1005,17,9,1-1005,125,12,0,18,29.17316722869873,0.23338533782958984
500,500,500,1-0292,5,20,1-0292,99,3,0,21,23.035361766815186,0.23268042188702207
272,272,272,1-1570,10,17,1-1570,142,12,0,22,32.989426612854004,0.23231990572432398
97,97,97,1-9237,8,8,1-9237,38,4,0,5,8.770324230194092,0.23079800605773926
31,31,31,1-8938,8,8,1-8938,30,5,0,2,6.908129692077637,0.23027098973592122
179,179,179,1-4052,1,19,1-4052,13,2,0,1,2.9540648460388184,0.2272357573876014
295,295,295,1-3639,4,7,1-3639,17,1,0,3,3.862194538116455,0.2271879140068503
203,203,203,1-1250,9,12,1-1250,34,2,0,6,7.72438907623291,0.2271879140068503
245,245,245,1-6647,18,23,1-6647,62,14,0,0,14.0,0.22580645161290322
298,298,298,1-7019,5,20,1-7019,107,5,0,20,24.081296920776367,0.22505884972688195
309,309,309,1-3516,11,1,1-3516,156,35,0,0,35.0,0.22435897435897437
424,424,424,1-4700,1,11,1-4700,31,6,0,1,6.954064846038818,0.2243246724528651
1,1,1,1-9185,20,19,1-9185,31,6,0,1,6.954064846038818,0.2243246724528651
529,529,529,1-6217,13,18,1-6217,44,6,0,4,9.816259384155273,0.22309680418534714
401,401,401,1-7204,19,13,1-7204,26,1,0,5,5.770324230194092,0.22193554731515738
123,123,123,MLG55,16,22,MLG55,92,5,0,16,20.265037536621094,0.2202721471371858
95,95,95,1-3312,14,5,1-3312,36,6,0,2,7.908129692077637,0.2196702692243788
354,354,354,1-9417,15,5,1-9417,76,8,0,9,16.586583614349365,0.218244521241439
359,359,359,1-4417,5,20,1-4417,151,9,0,25,32.85162115097046,0.2175604049733143
412,412,412,1-6858,15,5,1-6858,23,5,0,0,5.0,0.21739130434782608
347,347,347,1-8188,13,18,1-8188,140,18,0,13,30.40284299850464,0.21716316427503313
482,482,482,1-4390,16,22,1-4390,45,3,0,7,9.678453922271729,0.21507675382826064
172,172,172,1-8573,5,20,1-8573,184,28,0,12,39.44877815246582,0.21439553343731424
30,30,30,1-8418,20,19,1-8418,46,7,0,3,9.862194538116455,0.21439553343731424
364,364,364,1-7682,2,6,1-7682,141,25,0,5,29.770324230194092,0.21113705127797228
173,173,173,1-9588,8,8,1-9588,14,2,0,1,2.9540648460388184,0.2110046318599156
279,279,279,MLG43,2,6,MLG43,14,2,0,1,2.9540648460388184,0.2110046318599156
137,137,137,1-1972,5,20,1-1972,32,1,0,6,6.72438907623291,0.21013715863227844
351,351,351,1-19229,2,6,1-19229,38,6,0,2,7.908129692077637,0.20810867610730624
303,303,303,1-8157,19,13,1-8157,75,5,0,11,15.494713306427002,0.2065961774190267
465,465,465,1-5913,5,20,1-5913,14,0,0,3,2.862194538116455,0.20444246700831822
271,271,271,1-7897,9,12,1-7897,95,7,0,13,19.40284299850464,0.2042404526158383
130,130,130,1-1833,16,22,1-1833,124,11,0,15,25.310972690582275,0.20412074750469578
233,233,233,MLG07,7,14,MLG07,90,2,0,17,18.219102382659912,0.20243447091844347
223,223,223,1-0205,7,14,1-0205,34,4,0,3,6.862194538116455,0.2018292511210722
370,370,370,MLG62,4,7,MLG62,525,76,0,31,105.57601022720337,0.20109716233753022
541,541,541,1-5424,7,14,1-5424,5,1,0,0,1.0,0.2
220,220,220,MLG73,4,7,MLG73,10,2,0,0,2.0,0.2
275,275,275,1-3216,1,11,1-3216,5,1,0,0,1.0,0.2
455,455,455,1-17790,6,2,1-17790,5,1,0,0,1.0,0.2
96,96,96,MLG37,4,7,MLG37,116,6,0,18,23.17316722869873,0.19976868300602355
160,160,160,1-19813,1,11,1-19813,20,3,0,1,3.9540648460388184,0.19770324230194092
241,241,241,1-19448,14,10,1-19448,45,6,0,3,8.862194538116455,0.1969376564025879
417,417,417,1-10451,12,19,1-10451,46,9,0,0,9.0,0.1956521739130435
