,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
60,1-3534,18,11,1-3534,279,64,0,49,92.97398966550828,0.3332401063279866
61,1-8493,21,17,1-8493,38,2,0,18,12.643506407737732,0.3327238528352034
62,1-1317,17,10,1-1317,414,83,0,92,137.40014386177063,0.331884405463214
63,1-5043,21,17,1-5043,123,10,0,52,40.747907400131226,0.3312838000010669
64,MLG56,12,3,MLG56,511,54,0,194,168.7133468389511,0.3301631053599826
65,1-18487,15,2,1-18487,23,7,0,1,7.591305911540985,0.3300567787626515
66,1-7530,18,7,1-7530,25,4,0,7,8.139141380786896,0.3255656552314758
67,1-6611,18,11,1-6611,89,10,0,32,28.921789169311523,0.3249639232506913
68,1-18563,3,7,1-18563,8,2,0,1,2.591305911540985,0.3239132389426231
69,1-3206,6,5,1-3206,45,11,0,6,14.54783546924591,0.3232852326499091
70,1-3535,16,8,1-3535,315,51,0,85,101.26100248098372,0.3214634999396309
71,1-17907,18,11,1-17907,119,18,0,34,38.10440099239349,0.3202050503562478
72,MLG14,3,7,MLG14,232,32,0,71,73.98271971940994,0.3188910332733187
73,1-6061,3,2,1-6061,40,8,0,8,12.73044729232788,0.318261182308197
74,1-0033,18,11,1-0033,10,2,0,2,3.18261182308197,0.318261182308197
75,1-5424,10,16,1-5424,5,1,0,1,1.591305911540985,0.318261182308197
76,1-8067,2,6,1-8067,322,26,0,129,102.27846258878708,0.3176349769838108
77,MLG60,2,6,MLG60,47,9,0,10,14.913059115409853,0.3172991301151032
78,1-6532,18,11,1-6532,27,5,0,6,8.54783546924591,0.3165864988609596
79,1-4855,3,7,1-4855,22,4,0,5,6.9565295577049255,0.3162058889865875
80,1-5425,19,9,1-5425,17,3,0,4,5.36522364616394,0.31560139095082
81,1-8427,16,8,1-8427,189,54,0,9,59.32175320386887,0.3138717100733802
82,1-0278,17,10,1-0278,79,20,0,8,24.73044729232788,0.3130436366117453
83,1-6927,19,9,1-6927,179,34,0,37,55.87831872701645,0.3121693783632204
84,1-18377,12,3,1-18377,14,2,0,4,4.36522364616394,0.31180168901171
85,1-8042,4,4,1-8042,52,2,0,24,16.191341876983643,0.3113719591727623
86,MLG41,2,6,MLG41,66,14,0,11,20.50436502695084,0.3106721973780429
87,1-19229,2,6,1-19229,38,4,0,13,11.686976850032806,0.3075520223692843
88,1-5654,4,4,1-5654,15,4,0,1,4.591305911540985,0.306087060769399
89,1-9805,2,6,1-9805,26,5,0,5,7.956529557704925,0.3060203676040356
90,1-11350,6,5,1-11350,100,17,0,23,30.600035965442657,0.3060003596544265
91,1-5002,10,2,1-5002,45,10,0,6,13.54783546924591,0.3010630104276869
92,1-4319,19,9,1-4319,163,23,0,44,49.01746010780335,0.3007206141583027
93,1-4929,17,10,1-4929,10,3,0,0,3.0,0.3
94,1-4640,18,11,1-4640,87,10,0,27,25.9652596116066,0.2984512599035241
95,1-3104,7,15,1-3104,16,3,0,3,4.773917734622955,0.2983698584139347
96,1-4417,9,19,1-4417,151,0,0,76,44.93924927711487,0.2976109223649991
97,1-9417,19,9,1-9417,76,10,0,21,22.417424142360687,0.2949661071363248
98,MLG39,7,15,MLG39,23,5,0,3,6.773917734622955,0.2945181623749111
99,MLG11,3,7,MLG11,87,25,0,1,25.591305911540985,0.2941529415119653
100,1-6098,8,13,1-6098,1327,204,0,315,390.2613621354103,0.2940929631766468
101,1-7496,18,11,1-7496,246,34,0,64,71.84357833862305,0.2920470664171669
102,MLG50,5,14,MLG50,319,68,0,42,92.83484828472136,0.2910183331809447
103,1-6538,16,8,1-6538,44,8,0,8,12.73044729232788,0.2893283475529064
104,1-19549,7,15,1-19549,29,3,0,9,8.321753203868866,0.2869570070299609
105,1-9452,17,12,1-9452,16,4,0,1,4.591305911540985,0.2869566194713115
106,1-19915,12,3,1-19915,62,3,0,25,17.782647788524628,0.2868168998149134
107,1-1462,20,1,1-1462,192,13,0,71,54.98271971940994,0.2863683318719268
108,MLG75,15,2,MLG75,185,41,0,20,52.8261182308197,0.2855465850314578
109,1-4020,3,7,1-4020,37,7,0,6,10.54783546924591,0.2850766343039435
110,1-1608,3,7,1-1608,307,27,0,102,87.31320297718048,0.2844078272872328
111,1-0027,15,2,1-0027,29,7,0,2,8.18261182308197,0.2821590283821369
112,1-8678,4,12,1-8678,17,3,0,3,4.773917734622955,0.2808186902719385
113,1-8328,6,5,1-8328,114,29,0,5,31.95652955770493,0.2803204347167098
114,1-1836,17,10,1-1836,20,5,0,1,5.591305911540985,0.2795652955770492
115,1-1131,10,16,1-1131,138,32,0,11,38.50436502695084,0.2790171378764553
116,1-9971,5,14,1-9971,15,3,0,2,4.18261182308197,0.2788407882054647
117,1-0129,4,4,1-0129,142,30,0,16,39.46089458465576,0.2778936238356039
118,1-9818,6,5,1-9818,28,6,0,3,7.773917734622955,0.2776399190936769
119,1-8421,21,17,1-8421,109,3,0,46,30.200071930885315,0.2770648800998653
120,1-3312,12,9,1-3312,36,4,0,10,9.913059115409853,0.2753627532058292
121,1-7152,18,11,1-7152,109,11,0,32,29.921789169311523,0.2745118272413901
122,1-8590,3,7,1-8590,24,3,0,6,6.547835469245911,0.2728264778852463
123,1-17657,8,13,1-17657,8,1,0,2,2.18261182308197,0.2728264778852463
124,1-18709,2,6,1-18709,33,6,0,5,8.956529557704926,0.2714099865971189
125,1-5036,16,8,1-5036,14,2,0,3,3.7739177346229553,0.2695655524730682
126,MLG10,12,24,MLG10,60,16,0,0,16.0,0.2666666666666666
127,1-8646,5,19,1-8646,20,0,0,9,5.321753203868866,0.2660876601934433
128,1-1183,14,6,1-1183,45,9,0,5,11.956529557704926,0.2657006568378872
129,MLG06,4,4,MLG06,18,3,0,3,4.773917734622955,0.2652176519234975
130,1-6734,21,17,1-6734,44,1,0,18,11.643506407737732,0.264625145630403
