Unnamed: 0.15,Unnamed: 0.14,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,189,1-9156,14,10,1-9156,268,63,0,43,99.53538423776627,0.37140068745435173
254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,254,1-8379,14,10,1-8379,5,1,0,1,1.8496600985527039,0.3699320197105408
250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,250,1-9333,9,8,1-9333,102,35,0,3,37.54898029565811,0.3681272578005697
159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,1-10696,1,15,1-10696,24,2,0,8,8.79728078842163,0.3665533661842346
429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,429,1-6693,4,17,1-6693,98,17,0,22,35.692522168159485,0.36420940987917844
294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,294,1-3509,16,2,1-3509,35,11,0,2,12.699320197105408,0.36283771991729735
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,1-3312,4,17,1-3312,36,2,0,13,13.04558128118515,0.3623772578106986
344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,344,1-6035,6,9,1-6035,23,4,0,5,8.24830049276352,0.3586217605549356
521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,521,1-19549,1,15,1-19549,29,1,0,11,10.346261084079742,0.35676762358895664
441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,441,1-19166,9,21,1-19166,45,5,0,13,16.04558128118515,0.35656847291522553
220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,220,MLG73,1,15,MLG73,10,1,0,3,3.5489802956581116,0.3548980295658112
478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1-9394,22,20,1-9394,117,33,0,10,41.49660098552704,0.3546718032951029
397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,397,1-9808,5,7,1-9808,74,5,0,25,26.241502463817596,0.35461489815969727
320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,320,MLG13,11,13,MLG13,140,19,0,36,49.58776354789734,0.3541983110564096
283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,283,1-3535,21,11,1-3535,315,28,0,98,111.26668965816498,0.35322758621639677
291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,291,MLG02,5,7,MLG02,320,22,0,107,112.91363054513931,0.35285509545356036
533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,533,1-7530,8,19,1-7530,25,2,0,8,8.79728078842163,0.35189123153686525
