,Exam Group,Exam Block,slot,exam,size,b2bs,confs,2i3s,score,score_norm
214,1-4149,8,13,1-4149,16,3,0,0,3.0,0.1875
215,1-5626,21,12,1-5626,125,14,0,16,23.310487747192383,0.186483901977539
216,1-2400,12,5,1-2400,49,5,0,7,9.073338389396667,0.1851701712121768
217,1-6909,12,5,1-6909,36,2,0,8,6.655243873596191,0.184867885377672
218,MLG42,9,4,MLG42,14,2,0,1,2.581905484199524,0.1844218202999659
219,1-4649,15,23,1-4649,244,24,0,36,44.94859743118286,0.1842155632425527
220,1-9338,23,14,1-9338,29,3,0,4,5.327621936798096,0.1837111012688998
221,1-5654,2,19,1-5654,15,1,0,3,2.745716452598572,0.1830477635065714
222,1-8938,1,18,1-8938,30,2,0,6,5.491432905197144,0.1830477635065714
223,1-1850,11,7,1-1850,30,2,0,6,5.491432905197144,0.1830477635065714
224,1-9516,8,13,1-9516,76,8,0,10,13.81905484199524,0.1818296689736215
225,1-7182,12,5,1-7182,22,4,0,0,4.0,0.1818181818181818
226,1-1224,22,3,1-1224,151,7,0,35,27.366691946983337,0.1812363705098234
227,1-8328,12,5,1-8328,114,9,0,20,20.63810968399048,0.1810360498595656
228,1-8488,23,6,1-8488,23,3,0,2,4.163810968399048,0.1810352594956107
229,1-2335,5,21,1-2335,145,7,0,33,26.20288097858429,0.1807095239902365
230,1-1608,19,17,1-1608,307,31,0,42,55.440030336380005,0.1805864180338111
231,1-9404,6,3,1-9404,100,4,0,24,17.965731620788574,0.1796573162078857
232,1-9650,22,3,1-9650,25,1,0,6,4.491432905197144,0.1796573162078857
233,MLG59,3,24,MLG59,71,11,0,3,12.745716452598572,0.1795171331351911
234,1-0278,2,19,1-0278,79,6,0,14,14.146676778793337,0.1790718579594093
235,1-6538,6,8,1-6538,44,2,0,10,7.819054841995239,0.1777057918635281
236,1-9674,22,3,1-9674,144,5,0,35,25.366691946983337,0.176157582965162
237,1-5744,4,22,1-5744,18,2,0,2,3.163810968399048,0.1757672760221693
238,1-19166,8,13,1-19166,45,5,0,5,7.90952742099762,0.1757672760221693
239,MLG06,3,24,MLG06,18,2,0,2,3.163810968399048,0.1757672760221693
240,1-10071,23,14,1-10071,30,0,0,9,5.237149357795715,0.1745716452598572
241,1-8450,20,8,1-8450,52,5,0,7,9.073338389396667,0.1744872767191667
242,MLG69,14,16,MLG69,576,69,0,54,100.42289614677428,0.174345305810372
243,1-9740,1,18,1-9740,34,3,0,5,5.90952742099762,0.1738096300293417
244,1-7819,1,18,1-7819,59,5,0,9,10.237149357795715,0.1735110060643341
245,1-18371,11,7,1-18371,120,8,0,22,20.801920652389526,0.1733493387699127
246,1-8181,10,10,1-8181,30,4,0,2,5.163810968399048,0.1721270322799682
247,1-9722,14,16,1-9722,22,2,0,3,3.745716452598572,0.1702598387544805
248,1-3362,4,22,1-3362,117,17,0,5,19.90952742099762,0.1701669010341676
249,MLG39,2,19,MLG39,23,1,0,5,3.90952742099762,0.169979453086853
250,1-9630,13,24,1-9630,33,5,0,1,5.581905484199524,0.1691486510363492
251,1-3175,6,20,1-3175,6,1,0,0,1.0,0.1666666666666666
252,1-4842,4,22,1-4842,6,1,0,0,1.0,0.1666666666666666
253,1-0055,2,4,1-0055,18,3,0,0,3.0,0.1666666666666666
254,1-10698,16,15,1-10698,6,1,0,0,1.0,0.1666666666666666
255,MLG84,9,4,MLG84,63,7,0,6,10.491432905197144,0.1665306810348752
256,1-20467,17,6,1-20467,13,1,0,2,2.163810968399048,0.1664469975691575
257,1-9839,16,15,1-9839,20,1,0,4,3.327621936798096,0.1663810968399048
258,1-7321,4,22,1-7321,7,0,0,2,1.163810968399048,0.1662587097712925
259,1-0296,14,16,1-0296,41,5,0,3,6.745716452598572,0.1645296695755749
260,MLG56,12,5,MLG56,511,40,0,75,83.6429113149643,0.1636847579549203
261,1-9444,12,5,1-9444,24,1,0,5,3.90952742099762,0.1628969758749008
262,1-18615,15,23,1-18615,22,3,0,1,3.581905484199524,0.1628138856454329
263,1-5163,11,7,1-5163,16,2,0,1,2.581905484199524,0.1613690927624702
264,1-2294,22,3,1-2294,75,1,0,19,12.056204199790956,0.160749389330546
265,1-20167,20,8,1-20167,56,9,0,0,9.0,0.1607142857142857
266,1-6296,7,1,1-6296,254,0,0,70,40.73338389396668,0.160367653125853
267,MLG32,5,21,MLG32,52,6,0,4,8.327621936798096,0.1601465757076557
268,1-8551,12,23,1-8551,38,2,0,7,6.073338389396668,0.159824694457807
269,1-1005,10,10,1-1005,125,14,0,10,19.81905484199524,0.1585524387359619
270,1-1972,1,18,1-1972,32,1,0,7,5.073338389396668,0.1585418246686458
271,1-8125,13,9,1-8125,21,1,0,4,3.327621936798096,0.1584581874665759
272,1-9185,23,14,1-9185,31,2,0,5,4.90952742099762,0.1583718522902458
273,72-18936,5,21,72-18936,20,2,0,2,3.163810968399048,0.1581905484199524
274,MLG73,1,18,MLG73,10,1,0,1,1.581905484199524,0.1581905484199524
275,1-6228,1,18,1-6228,48,0,0,13,7.564771294593811,0.1575994019707044
276,1-9277,8,13,1-9277,48,4,0,6,7.491432905197143,0.1560715188582738
277,1-1570,5,21,1-1570,142,14,0,14,22.14667677879333,0.1559625125267136
278,1-19286,5,21,1-19286,40,1,0,9,6.237149357795715,0.1559287339448928
279,1-18994,21,16,1-18994,28,2,0,4,4.327621936798096,0.1545579263142177
280,1-9496,17,4,1-9496,39,6,0,0,6.0,0.1538461538461538
281,1-3584,1,18,1-3584,26,4,0,0,4.0,0.1538461538461538
282,1-7005,8,13,1-7005,285,6,0,65,43.823856472969055,0.1537679174490142
283,1-6916,6,23,1-6916,43,6,0,1,6.581905484199524,0.1530675693999889
284,1-9610,6,20,1-9610,49,4,0,6,7.491432905197143,0.1528863858203498
